sim,division,org_lvl,org_name,org_code,district,upazila,LAT,LON
1,Khulna,district,Magura District Hospital,10001876,Magura,Magura Sadar,23.4863665,89.4215122
1,Chattogram,district,Rangamati General Hospital,10001088,Rangamati,Rangamati Sadar,22.6580983,92.1685304
1,Khulna,district,Bagerhat District Hospital,10001693,Bagerhat,Bagerhat Sadar,22.7955887,89.8726916
1,Rangpur,district,Thakurgaon District Hospital,10001687,Thakurgaon,Thakurgaon Sadar,26.0190812,88.4669352
1,Sylhet,district,"Habiganj District Hospital, Habiganj",10002071,Habiganj,Habiganj Sadar,24.373323,91.41763999999999
1,Dhaka,district,Madaripur District Hospital,10000263,Madaripur,Madaripur Sadar,23.1653896,90.21206480000001
1,Chattogram,district,Noakhali 250 Bed General Hospital,10001049,Noakhali,Noakhali Sadar,22.8725498,91.08850179999999
1,Dhaka,district,Munshiganj 250 bed District Hospital,10000328,Munshiganj,Munshiganj Sadar,23.4980931,90.41266209999999
1,Chattogram,district,Cox's Bazar 250 Bed District Sadar Hospital,10000922,Cox's Bazar,Cox's Bazar Sadar,21.4409036,91.9766003
1,Sylhet,district,Sunamganj 250 bed District Sadar Hospital,10002157,Sunamganj,Sunamganj Sadar,25.0647035,91.4108072
1,Khulna,district,Jassore 250 bed General Hospital,10013096,Jashore,Jashore Sadar,23.1687959,89.20915869999999
1,Rangpur,district,Kurigram 250 bed District Hospital,10001317,Kurigram,Kurigram Sadar,25.8072414,89.6294746
1,Khulna,subdistrict,Terokhada Upazila Health Complex,10001828,Khulna,Terokhada,22.928258,89.672511
1,Sylhet,subdistrict,Dakhin Surma Upazila Health Complex,10002243,Sylhet,Dakshin Surma,24.8292266,91.9010356
1,Barishal,subdistrict,Muladi Upazila Health Complex,10001991,Barishal,Muladi,22.9122405,90.4081885
1,Khulna,subdistrict,Sarsa Upazila Health Complex,10001768,Jashore,Sharsha,23.054194,88.989513
1,Chattogram,subdistrict,Chhagalnaya Upazila Health Complex,10000942,Feni,Chhagalnaiya,23.0388683,91.51629559999999
1,Rajshahi,subdistrict,Chatmohar Upazila Health Complex,10001479,Pabna,Chatmohar,24.2327452,89.2869509
1,Rajshahi,tertiary,"Shaheed Ziaur Rahman Medical College Hospital, Bogra",10001111,Bogura,Bogura Sadar,24.8279041,89.35293879999999
1,Chattogram,tertiary,Cumilla Medical College Hospital,10000867,Cumilla,Cumilla Adarsha Sadar,23.4515415,91.2029603
1,Dhaka,tertiary,"Mugda 500 Bed General Hospital, Dhaka",10013720,Dhaka,Mugda Para,23.7315171,90.42946200000002
1,Dhaka,tertiary,"Sheikh Hasina Medical College Hospital, Tangail",10024593,Tangail,Tangail Sadar,24.2636082,89.92414850000002
2,Rangpur,district,Panchagarh District Hospital,10001514,Panchagarh,Panchagarh Sadar,26.3318393,88.5556768
2,Barishal,district,Barguna District Hospital,10001943,Barguna,Barguna Sadar,22.156242,90.12789
2,Chattogram,district,Rangamati General Hospital,10001088,Rangamati,Rangamati Sadar,22.6580983,92.1685304
2,Chattogram,district,Brahmanbaria 250 Bed District Sadar Hospital,10000672,Brahmanbaria,Brahmanbaria Sadar,23.9762236,91.11117180000001
2,Sylhet,district,"Habiganj District Hospital, Habiganj",10002071,Habiganj,Habiganj Sadar,24.373323,91.41763999999999
2,Barishal,district,Patuakhali 250 bed Sadar Hospital,10002051,Patuakhali,Patuakhali Sadar,22.3622664,90.3269921
2,Chattogram,district,Comilla General Hospital,10000864,Cumilla,Cumilla Adarsha Sadar,23.4499746,91.1782827
2,Dhaka,district,Narsingdi District Hospital,10000452,Narsingdi,Narsingdi Sadar,23.9299304,90.7026636
2,Chattogram,district,Noakhali 250 Bed General Hospital,10001049,Noakhali,Noakhali Sadar,22.8725498,91.08850179999999
2,Rangpur,district,Dinajpur 250 bed General Hospital,10001214,Dinajpur,Dinajpur Sadar,25.6258212,88.63687589999999
2,Chattogram,district,Feni 250 Bed District Sadar Hospital,10000954,Feni,Feni Sadar,23.0159132,91.39758309999999
2,Dhaka,district,Madaripur District Hospital,10000263,Madaripur,Madaripur Sadar,23.1653896,90.21206480000001
2,Khulna,subdistrict,Rampal Upazila Health Complex,10001710,Bagerhat,Rampal,22.5877107,89.6497052
2,Rangpur,subdistrict,Ulipur Upazila Health Complex,10001338,Kurigram,Ulipur,25.6565077,89.6243298
2,Mymensingh,subdistrict,Bakshiganj Upazila Health Complex,10000188,Jamalpur,Bakshiganj,25.177373,89.87068239999999
2,Rajshahi,subdistrict,Bera Upazila Health Complex,10001476,Pabna,Bera,24.0776786,89.61486430000001
2,Khulna,subdistrict,Gangni Upazila Health Complex,10001891,Meherpur,Gangni,23.8163155,88.7443078
2,Rangpur,subdistrict,Kaharol Upazila Health Complex,10001227,Dinajpur,Kaharole,25.7934093,88.6069425
2,Mymensingh,tertiary,Mymensingh Medical College Hospital,10000397,Mymensingh,Mymensingh Sadar,24.7415322,90.4089228
2,Sylhet,tertiary,Moulvibazar 250 bed District Sadar Hospital,10002116,Maulvibazar,Maulvibazar Sadar,24.4813033,91.76596169999999
2,Khulna,tertiary,Khulna Medical College Hospital,10001807,Khulna,Sonadanga,22.8281662,89.5371409
2,Chattogram,tertiary,Cumilla Medical College Hospital,10000867,Cumilla,Cumilla Adarsha Sadar,23.4515415,91.2029603
3,Chattogram,district,Bandarban District Hospital,10000655,Bandarban,Bandarban Sadar,22.1896135,92.2264957
3,Dhaka,district,Rajbari District Hospital,10000536,Rajbari,Rajbari Sadar,23.7495843,89.6473056
3,Khulna,district,"Khulna 250 Bed General Hospital, Khulna",10001805,Khulna,Khulna Sadar,22.8281662,89.5371409
3,Khulna,district,Jassore 250 bed General Hospital,10013096,Jashore,Jashore Sadar,23.1687959,89.20915869999999
3,Chattogram,district,Khagrachari District Hospital,10000976,Khagrachari,Khagrachari Sadar,23.1078056,91.9931579
3,Dhaka,district,Shariatpur District Hospital,10000559,Shariatpur,Shariatpur Sadar,23.2116043,90.3484297
3,Chattogram,district,Rangamati General Hospital,10001088,Rangamati,Rangamati Sadar,22.6580983,92.1685304
3,Chattogram,district,Brahmanbaria 250 Bed District Sadar Hospital,10000672,Brahmanbaria,Brahmanbaria Sadar,23.9762236,91.11117180000001
3,Rangpur,district,Thakurgaon District Hospital,10001687,Thakurgaon,Thakurgaon Sadar,26.0190812,88.4669352
3,Sylhet,district,Sunamganj 250 bed District Sadar Hospital,10002157,Sunamganj,Sunamganj Sadar,25.0647035,91.4108072
3,Barishal,district,Barguna District Hospital,10001943,Barguna,Barguna Sadar,22.156242,90.12789
3,Sylhet,district,"Habiganj District Hospital, Habiganj",10002071,Habiganj,Habiganj Sadar,24.373323,91.41763999999999
3,Barishal,subdistrict,Galachipa Upazila Health Complex,10002039,Patuakhali,Galachipa,22.1659553,90.4204714
3,Dhaka,subdistrict,Shakipur Upazila Health Complex,10000640,Tangail,Sakhipur,24.3164679,90.170626
3,Dhaka,subdistrict,Itna Upazila Health Complex,10000234,Kishoreganj,Itna,24.5275596,91.09379469999999
3,Rangpur,subdistrict,Fulbari Upazila Health Complex,10002235,Kurigram,Phulbari,25.5015095,88.9487077
