org_name,org_code,division,district,upazila,org_lvl,LAT,LON,wt
Atpara Upazila Health Complex,10000466,Mymensingh,Netrakona,Atpara,subdistrict,24.8099522,90.86200269999999,23229.834383877842
Atrai Upazila Health Complex,10001363,Rajshahi,Naogaon,Atrai,subdistrict,24.611162,88.97819969999999,13807.40364074707
Atwari Upazila Health Complex,10001500,Rangpur,Panchagarh,Atwari,subdistrict,26.2371141,88.4092577,12165.635946044922
Austagram Upazila Health Complex,10000223,Dhaka,Kishoreganj,Austagram,subdistrict,24.2733317,91.1032314,12426.244392641129
Babuganj Upazila Health Complex,10001955,Barishal,Barishal,Babuganj,subdistrict,22.8264539,90.3082433,31191.492838541668
Badalgachi Upazila Health Complex,10001370,Rajshahi,Naogaon,Badalgachhi,subdistrict,24.9607274,88.90577669999999,17900.703671875
Badarganj Upazila Health Complex,10001575,Rangpur,Rangpur,Badarganj,subdistrict,25.673455,89.0493125,17955.88718894676
Bagerhat District Hospital,10001693,Khulna,Bagerhat,Bagerhat Sadar,district,22.7955887,89.8726916,15225.485136298723
Bagha Upazila Health Complex,10001527,Rajshahi,Rajshahi,Bagha,subdistrict,24.1987913,88.8378535,13654.929461854877
Baghaichari Upazila Health Complex,10001067,Chattogram,Rangamati,Baghaichari,subdistrict,22.9669729,92.2007605,3753.864049496858
Bagherpara Upazila Health Complex,10001741,Khulna,Jashore,Bagherpara,subdistrict,23.2191034,89.34433419999999,12874.544740738407
Bagmara Upazila Health Complex,10001523,Rajshahi,Rajshahi,Baghmara,subdistrict,24.5594502,88.80393579999999,13268.926868785511
Bahubal Upazila Health Complex,10002075,Sylhet,Habiganj,Bahubal,subdistrict,24.3391251,91.5381503,18438.72111628606
Bajitpur Upazila Health Complex,10000227,Dhaka,Kishoreganj,Bajitpur,subdistrict,24.2139055,90.96489319999999,30970.72023292824
Bakerganj Upazila Health Complex,10001963,Barishal,Barishal,Bakerganj,subdistrict,22.5388143,90.34633219999999,14259.890998391544
Bakshiganj Upazila Health Complex,10000188,Mymensingh,Jamalpur,Bakshiganj,subdistrict,25.177373,89.87068239999999,25516.293547453704
Balaganj Upazila Health Complex,10002164,Sylhet,Sylhet,Balaganj,subdistrict,24.6550741,91.83655759999999,18578.773003472223
Baliadangi Upazila Health Complex,10001671,Rangpur,Thakurgaon,Baliadangi,subdistrict,26.0967079,88.2763784,14267.837682972784
Baliakandi Upazila Health Complex,10000505,Dhaka,Rajbari,Baliakandi,subdistrict,23.6320888,89.5494684,17124.461378528227
Bamna Upazila Health Complex,10001937,Barishal,Barguna,Bamna,subdistrict,22.3097209,90.0929304,15705.507533482143
Banaripara Upazila Health Complex,10001966,Barishal,Barishal,Banaripara,subdistrict,22.7795615,90.160325,19026.42221966912
Bancharampur Upazila Health Complex,10000667,Chattogram,Brahmanbaria,Banchharampur,subdistrict,23.7712295,90.80182529999999,27285.280799278848
Bandar Upazila Health Complex,10000420,Dhaka,Narayanganj,Bandar,subdistrict,23.6290652,90.52533919999999,121150.38113064236
Bandarban District Hospital,10000655,Chattogram,Bandarban,Bandarban Sadar,district,22.1896135,92.2264957,9945.455735948352
Baniachong Upazila Health Complex,10002077,Sylhet,Habiganj,Baniachong,subdistrict,24.5043556,91.363973,15763.21953125
Banshkhali Upazila Health Complex,10000734,Chattogram,Chattogram,Banshkhali,subdistrict,22.0017357,91.9503596,29204.508345438087
Baraigram Upazila Health Complex,10001421,Rajshahi,Natore,Baraigram,subdistrict,24.3121676,89.16629840000002,24403.819905598957
Barguna District Hospital,10001943,Barishal,Barguna,Barguna Sadar,district,22.156242,90.12789,13845.513408532302
Barhatta Upazila Health Complex,10000468,Mymensingh,Netrakona,Barhatta,subdistrict,24.8978283,90.8872695,19503.610966435186
Barisal General Hospital,10001972,Barishal,Barishal,Barishal Sadar,district,22.7086412,90.37027479999999,20962.048409598214
Barkal Upazila Health Complex,10001070,Chattogram,Rangamati,Barkal,subdistrict,22.7244254,92.3805678,1895.3817504882813
Barlekha Upazila Health Complex,10002096,Sylhet,Maulvibazar,Barlekha,subdistrict,24.6937111,92.1849536,18479.36513449929
Barura Upazila Health Complex,10000842,Chattogram,Cumilla,Barura,subdistrict,23.3768341,91.05928689999999,40947.62993164062
Basail Upazila Health Complex,10000581,Dhaka,Tangail,Basail,subdistrict,24.2290094,90.05453469999999,26193.481742527172
Batiaghata Upazila Health Complex,10001792,Khulna,Khulna,Batiaghata,subdistrict,22.7386876,89.51466429999999,43966.695932241586
Bauphal Upazila Health Complex,10002033,Barishal,Patuakhali,Bauphal,subdistrict,22.4145776,90.56198289999999,15363.860395951704
Beanibazar Upazila Health Complex,10002172,Sylhet,Sylhet,Beanibazar,subdistrict,24.8285578,92.16258470000001,24111.856849407326
Begumganj Upazila Health Complex,10001028,Chattogram,Noakhali,Begumganj,subdistrict,22.9439053,91.11057249999999,70369.86165364583
Belabo Upazila Health Complex,10000436,Dhaka,Narsingdi,Belabo,subdistrict,24.1066467,90.8514301,35501.7265625
Belaichari Upazila Health Complex,10001072,Chattogram,Rangamati,Belaichari,subdistrict,22.3622596,92.49999179999999,372.42267789840696
Belkuchi Upazila Health Complex,10001624,Rajshahi,Sirajganj,Belkuchi,subdistrict,24.2948402,89.69601589999999,33901.64998046875
Bera Upazila Health Complex,10001476,Rajshahi,Pabna,Bera,subdistrict,24.0776786,89.61486430000001,27686.715698242188
Betagi Upazila Health Complex,10001945,Barishal,Barguna,Betagi,subdistrict,22.4136076,90.1601787,17032.94446113782
Bhairab Upazila Health Complex,10000230,Dhaka,Kishoreganj,Bhairab,subdistrict,24.0640154,90.9868276,35246.47329799107
Bhandaria Upazila Health Complex,10002055,Barishal,Pirojpur,Bhandaria,subdistrict,22.4897195,90.0589013,16947.637632308466
Bhanga Upazila Health Complex,10000089,Dhaka,Faridpur,Bhanga,subdistrict,23.3827255,89.9810529,20438.483463541666
Bhangura Upazila Health Complex,10001473,Rajshahi,Pabna,Bhangura,subdistrict,24.2127755,89.3781084,21448.9426171875
Bhedarganj Upazila Health Complex,10000541,Dhaka,Shariatpur,Bhedarganj,subdistrict,23.1977488,90.4476433,30731.91234188988
Bheramara Upazila Health Complex,10001830,Khulna,Kushtia,Bheramara,subdistrict,24.0325349,89.0048949,26673.708147321428
Bhola District Hospital,10002002,Barishal,Bhola,Bhola Sadar,district,22.6757402,90.6557361,20795.252069768772
Bholahat Upazila Health Complex,10001163,Rajshahi,Chapai Nawabganj,Bholahat,subdistrict,24.9363316,88.22329529999999,21962.97108968099
Bhuapur Upazila Health Complex,10000586,Dhaka,Tangail,Bhuapur,subdistrict,24.4629235,89.8746932,34481.91359747024
Bhurungamari Upazila Health Complex,10001308,Rangpur,Kurigram,Bhurungamari,subdistrict,26.119676,89.6648689,20828.172671000164
Bijoynagar Upazila Health Complex,10013108,Chattogram,Brahmanbaria,Bijoynagar,subdistrict,24.0141859,91.2265536,27761.479482797477
Birampur Upazila Health Complex,10001189,Rangpur,Dinajpur,Birampur,subdistrict,25.3952853,88.98730169999999,21204.268159412204
Birganj Upazila Health Complex,10001193,Rangpur,Dinajpur,Birganj,subdistrict,25.880177,88.6358944,19141.488636363636
Birol Upazila Health Complex,10001200,Rangpur,Dinajpur,Biral,subdistrict,25.636288,88.5539635,26423.067595896395
Bishwanath Upazila Health Complex,10002177,Sylhet,Sylhet,Bishwanath,subdistrict,24.839986,91.7248377,25993.3279296875
Biswambarpur Upazila Health Complex,10002127,Sylhet,Sunamganj,Bishwambarpur,subdistrict,25.0987573,91.299939,25431.042934915295
Boalkhali Upazila Health Complex,10000740,Chattogram,Chattogram,Boalkhali,subdistrict,22.3744591,91.9192144,143725.00498046874
Boalmari Upazila Health Complex,10000095,Dhaka,Faridpur,Boalmari,subdistrict,23.3916388,89.68525749999999,20960.053861177883
Bochaganj Upazila Health Complex,10001201,Rangpur,Dinajpur,Bochaganj,subdistrict,25.7999526,88.4665782,13987.112030029297
Boda Upazila Health Complex,10001502,Rangpur,Panchagarh,Boda,subdistrict,26.2026511,88.554039,14964.338309151786
Bogra 250 bed Mohammad Ali District Hospital,10001109,Rajshahi,Bogura,Bogura Sadar,tertiary,24.8356039,89.3741702,23895.54912029329
Borhanuddin Upazila Health Complex,10002004,Barishal,Bhola,Burhanuddin,subdistrict,22.4963235,90.718772,24372.676261208275
Brahmanbaria 250 Bed District Sadar Hospital,10000672,Chattogram,Brahmanbaria,Brahmanbaria Sadar,district,23.9762236,91.11117180000001,35704.329840012535
Brahmanpara Upazila Health Complex,10000846,Chattogram,Cumilla,Brahmanpara,subdistrict,23.6133333,91.0943145,35998.64301241361
Burichong Upazila Health Complex,10000847,Chattogram,Cumilla,Burichang,subdistrict,23.5570703,91.1270572,52605.41896779914
Chaddagram Upazila Health Complex,10000852,Chattogram,Cumilla,Chauddagram,subdistrict,23.2237444,91.3137728,34242.178640265214
Chakaria Upazila Health Complex,10000918,Chattogram,Cox's Bazar,Chakaria,subdistrict,21.7617554,92.0746398,18818.868286132813
Chandanaish Upazila Health Complex,10000748,Chattogram,Chattogram,Chandanaish,subdistrict,22.2114681,92.0101031,38469.086115056816
Chandina Upazila Health Complex,10000857,Chattogram,Cumilla,Chandina,subdistrict,23.4882887,90.9984257,47576.422052556816
Chandpur 250 Bed General Hospital,10000700,Chattogram,Chandpur,Chandpur Sadar,district,23.2231817,90.6530009,35953.00087768555
Chapai Nababganj District Hospital,10001186,Rajshahi,Chapai Nawabganj,Chapai Nababganj Sadar,district,24.5980828,88.26547479999999,19581.974011086128
Charbhadrason Upazila Health Complex,10000098,Dhaka,Faridpur,Char Bhadrasan,subdistrict,23.563364,90.0004371,18427.636648995536
Charfession Upazila Health Complex,10002006,Barishal,Bhola,Charfession,subdistrict,22.1840322,90.7630241,19707.142993164063
Charghat Upazila Health Complex,10001528,Rajshahi,Rajshahi,Charghat,subdistrict,24.2805649,88.7507528,25595.880432128906
Chatkhil Upazila Health Complex,10001031,Chattogram,Noakhali,Chatkhil,subdistrict,23.0600994,90.9696512,21931.078871783087
Chatmohar Upazila Health Complex,10001479,Rajshahi,Pabna,Chatmohar,subdistrict,24.2327452,89.2869509,20057.840390625
Chhagalnaya Upazila Health Complex,10000942,Chattogram,Feni,Chhagalnaiya,subdistrict,23.0388683,91.51629559999999,28489.852510340075
Chhatak Upazila Health Complex,10002130,Sylhet,Sunamganj,Chhatak,subdistrict,25.0345323,91.6681278,17825.686072716348
Chilmari Upazila Health Complex,10001313,Rangpur,Kurigram,Chilmari,subdistrict,25.5812227,89.66001829999999,16434.07974137931
Chirirbandar Upazila Health Complex,10001203,Rangpur,Dinajpur,Chirirbandar,subdistrict,25.6506696,88.7725449,27755.63699776786
Chitalmari Upazila Health Complex,10001696,Khulna,Bagerhat,Chitalmari,subdistrict,22.7954188,89.8731677,12900.9599609375
Chittagong 250 Bed General Hospital,10000753,Chattogram,Chattogram,Kotwali,district,22.3406339,91.8377319,81887.03082501447
Chittagong Medical College Hospital,10000756,Chattogram,Chattogram,Panchlaish,tertiary,22.3592709,91.8308045,52353.907057989214
Chowgacha Upazila Health Complex,10001744,Khulna,Jashore,Chaugacha,subdistrict,23.2594433,89.02491169999999,15268.227462768555
Chowhali Upazila Health Complex,10001629,Rajshahi,Sirajganj,Chauhali,subdistrict,24.072394,89.7567693,15118.324232700892
Chuadanga District Hospital,10001723,Khulna,Chuadanga,Chuadanga Sadar,district,23.617779,88.8733006,19316.699620225696
"Chunarughat Upazila Health Complex, Hobigonj.",10002078,Sylhet,Habiganj,Chunarughat,subdistrict,24.1993876,91.51859309999999,20234.207286005436
Comilla General Hospital,10000864,Chattogram,Cumilla,Cumilla Adarsha Sadar,district,23.4499746,91.1782827,46633.376990685094
Comilla Sadar Daxin Upazila Health Complex,10000862,Chattogram,Cumilla,Cumilla Sadar Dakshin,subdistrict,23.4547096,91.1812348,53174.78061058408
Companiganj Upazila Health Complex,10001033,Chattogram,Noakhali,Companiganj,subdistrict,25.0855552,91.7566198,12700.401953330407
Companiganj Upazila Health Complex,10002209,Sylhet,Sylhet,Companiganj,subdistrict,25.0855552,91.7566198,12700.401953330407
Cox's Bazar 250 Bed District Sadar Hospital,10000922,Chattogram,Cox's Bazar,Cox's Bazar Sadar,district,21.4409036,91.9766003,21664.26625867009
Cumilla Medical College Hospital,10000867,Chattogram,Cumilla,Cumilla Adarsha Sadar,tertiary,23.4515415,91.2029603,41492.1375004695
Dacope Upazila Health Complex,10001794,Khulna,Khulna,Dacope,subdistrict,22.5994035,89.5176149,8138.085693359375
Daganbhuiya Upazila Health Complex,10000946,Chattogram,Feni,Daganbhuiyan,subdistrict,22.8501032,91.39655979999999,19466.851897321427
Dakhin Surma Upazila Health Complex,10002243,Sylhet,Sylhet,Dakshin Surma,subdistrict,24.8292266,91.9010356,38792.02601207386
Dakshin Sunamganj Upazila Health Complex,10002134,Sylhet,Sunamganj,Dakshin Sunamganj,subdistrict,25.0658556,91.4094135,27914.15656072443
Damudya Upazila Health Complex,10000544,Dhaka,Shariatpur,Damudya,subdistrict,23.1379536,90.44286699999999,23417.694463315216
Damurhuda Upazila Health Complex,10001731,Khulna,Chuadanga,Damurhuda,subdistrict,23.613707,88.7635289,23757.87079326923
Dashmina Upazila Health Complex,10002034,Barishal,Patuakhali,Dashmina,subdistrict,22.2825494,90.5645059,9925.757066206499
Daudkandi Upazila Health Complex,10000875,Chattogram,Cumilla,Daudkandi,subdistrict,23.5297817,90.7834439,33057.48723493303
Daulatkhan Upazila Health Complex,10002008,Barishal,Bhola,Daulatkhan,subdistrict,22.6051058,90.7458551,37551.58504813058
Daulatpur Upazila Health Complex,10000277,Dhaka,Manikganj,Daulatpur,subdistrict,23.9663768,89.82928489999999,19395.762102399553
Daulatpur Upazila Health Complex,10002214,Khulna,Kushtia,Daulatpur,subdistrict,23.9663768,89.82928489999999,19395.762102399553
Debidwar Upazila Health Complex,10000883,Chattogram,Cumilla,Debidwar,subdistrict,23.6035733,90.9883407,48125.05655570652
Debiganj Upazila Health Complex,10001506,Rangpur,Panchagarh,Debiganj,subdistrict,26.1163162,88.7557933,14717.1078125
Delduar Upazila Health Complex,10000591,Dhaka,Tangail,Delduar,subdistrict,24.1641829,89.96865939999999,36051.93980823864
Derai Upazila Health Complex,10002136,Sylhet,Sunamganj,Derai,subdistrict,24.8473266,91.2339315,11146.883413461539
Dewanganj Upazila Health Complex,10000191,Mymensingh,Jamalpur,Dewanganj,subdistrict,25.1617691,89.75889869999999,19922.024864783652
Dhaka Medical College Hospital,10000033,Dhaka,Dhaka,Shahbagh,tertiary,23.7256553,90.3970882,94822.73205861262
Dhamrai Upazila Health Complex,10000064,Dhaka,Dhaka,Dhamrai,subdistrict,23.9135162,90.2275441,60235.96427408854
Dhanbari Upazila Health Complex,10000595,Dhaka,Tangail,Dhanbari,subdistrict,24.6898613,89.9542883,23783.943115234375
Dharmapasha Upazila Health Complex,10002138,Sylhet,Sunamganj,Dharampasha,subdistrict,24.9034455,91.0056735,14061.977685546875
Dhubaura Upazila Health Complex,10000355,Mymensingh,Mymensingh,Dhobaura,subdistrict,25.0902996,90.5137506,14262.980743408203
Dhunat Upazila Health Complex,10001115,Rajshahi,Bogura,Dhunat,subdistrict,24.6916734,89.535905,28024.803059895832
Dhupchachia Upazila Health Complex,10001117,Rajshahi,Bogura,Dhupchanchia,subdistrict,24.8761591,89.1723974,21912.233230064656
Dighalia Upazila Health Complex,10001797,Khulna,Khulna,Dighalia,subdistrict,22.8730466,89.52459859999999,69202.87312199519
Dighinala Upazila Health Complex,10000973,Chattogram,Khagrachari,Dighinala,subdistrict,23.2495553,92.0666729,3939.333528958834
Dimla Upazila Health Complex. Nilphamari,10001442,Rangpur,Nilphamari,Dimla,subdistrict,26.1572451,88.92477269999999,21667.153719815342
Dinajpur 250 bed General Hospital,10001214,Rangpur,Dinajpur,Dinajpur Sadar,district,25.6258212,88.63687589999999,21287.390554119622
Doarabazar Upazila Health Complex,10002143,Sylhet,Sunamganj,Dowarabazar,subdistrict,25.0428276,91.567837,23236.100341796875
Dohar Upazila Health Complex,10000069,Dhaka,Dhaka,Dohar,subdistrict,23.6157665,90.12273909999999,27473.87974243164
Domar Upazila Health Complex,10001450,Rangpur,Nilphamari,Domar,subdistrict,26.1140528,88.85360229999999,19980.685477120536
Dumki Upazila Health Complex,10002035,Barishal,Patuakhali,Dumki,subdistrict,22.4706533,90.3836524,20067.40719288793
Dumuria Upazila Health Complex,10001799,Khulna,Khulna,Dumuria,subdistrict,22.8098382,89.4100684,31538.971644810266
Durgapur Upazila Health Complex,10000470,Rajshahi,Rajshahi,Durgapur,subdistrict,25.1282929,90.6786839,15103.00872154236
Durgapur Upazila Health Complex,10002304,Mymensingh,Netrakona,Durgapur,subdistrict,25.1282929,90.6786839,15103.00872154236
Fakirhat Upazila Health Complex,10001701,Khulna,Bagerhat,Fakirhat,subdistrict,22.7778718,89.70012779999999,17351.78857421875
Faridganj Upazila Health Complex,10000706,Chattogram,Chandpur,Faridganj,subdistrict,23.122725,90.7545435,42917.55940193965
Faridpur General Hospital,10000105,Dhaka,Faridpur,Faridpur Sadar,district,23.6049185,89.83647409999999,19624.738986702854
Faridpur Medical College Hospital,10000108,Dhaka,Faridpur,Faridpur Sadar,tertiary,23.5880489,89.8352342,19918.50778685225
Faridpur Upazila Health Complex,10001481,Rajshahi,Pabna,Faridpur,subdistrict,24.1605862,89.4570565,23683.859723772322
Fatikchari Upazila Health Complex,10000781,Chattogram,Chattogram,Fatikchari,subdistrict,22.6366553,91.7952699,20873.905407714843
Fenchuganj Upazila Health Complex,10002181,Sylhet,Sylhet,Fenchuganj,subdistrict,24.6970174,91.93832689999999,20092.453179253473
Feni 250 Bed District Sadar Hospital,10000954,Chattogram,Feni,Feni Sadar,district,23.0159132,91.39758309999999,28603.4005682809
Fulbari Upazila Health Complex,10001220,Rangpur,Dinajpur,Fulbari,subdistrict,25.5015095,88.9487077,24213.296875
Fulbari Upazila Health Complex,10002235,Rangpur,Kurigram,Phulbari,subdistrict,25.5015095,88.9487077,24213.296875
Fulbaria Upazila Health Complex,10000358,Mymensingh,Mymensingh,Fulbaria,subdistrict,24.6265478,90.2792457,32928.23801491477
Fulchari Upazila Health Complex,10001244,Rangpur,Gaibandha,Fulchhari,subdistrict,25.2480253,89.57703889999999,30833.68175738791
Fulgazi Upazila Health Complex,10000960,Chattogram,Feni,Fulgazi,subdistrict,23.1058338,91.4321219,28465.01758956909
Fultala Upazila Health Complex,10001801,Khulna,Khulna,Phultala,subdistrict,22.9572429,89.4807699,28502.376953125
Gabtali Upazila Health Complex,10001122,Rajshahi,Bogura,Gabtali,subdistrict,24.878177,89.4492502,58499.21498325893
Gaibandha District Hospital,10001254,Rangpur,Gaibandha,Gaibandha Sadar,district,25.3259361,89.5493315,24683.712223005885
Galachipa Upazila Health Complex,10002039,Barishal,Patuakhali,Galachipa,subdistrict,22.1659553,90.4204714,5284.1533150050955
Gangachara Upazila Health Complex,10001579,Rangpur,Rangpur,Gangachara,subdistrict,25.8544999,89.2219824,34081.526020665326
Gangni Upazila Health Complex,10001891,Khulna,Meherpur,Gangni,subdistrict,23.8163155,88.7443078,19154.48158203125
Gazaria Upazila Health Complex,10000317,Dhaka,Munshiganj,Gazaria,subdistrict,23.5529662,90.65290999999999,27944.377797719593
Ghatail Upazila Health Complex,10000601,Dhaka,Tangail,Ghatail,subdistrict,24.4843994,89.97355449999999,37503.69760529891
Ghior Upazila Health Complex,10000281,Dhaka,Manikganj,Ghior,subdistrict,23.891514,89.87653,24680.312462439902
Ghoraghat Upazila Health Complex,10001224,Rangpur,Dinajpur,Ghoraghat,subdistrict,25.256138,89.2399243,12942.875395903717
Goalanda Upazila Health Complex,10000508,Dhaka,Rajbari,Goalanda,subdistrict,23.723911,89.7469229,18113.909270255797
Gobindaganj Upazila Health Complex,10001265,Rangpur,Gaibandha,Gobindaganj,subdistrict,25.1425361,89.38607449999999,24431.77478966346
Godagari Upazila Health Complex,10001539,Rajshahi,Rajshahi,Godagari,subdistrict,24.3969518,88.4107301,13379.648741069594
Gofargaon Upazila Health Complex,10000369,Mymensingh,Mymensingh,Gaffargaon,subdistrict,24.4627428,90.54507319999999,28853.389250578704
Golapganj Upazila Health Complex,10002182,Sylhet,Sylhet,Golapganj,subdistrict,24.8321998,92.02894580000002,31380.11453125
Gomastapur Upazila Health Complex,10001167,Rajshahi,Chapai Nawabganj,Gomastapur,subdistrict,24.8179161,88.3237791,22583.103207795517
Gopalganj 250 bed General Hospital,10002233,Dhaka,Gopalganj,Gopalganj Sadar,district,22.9982121,89.8190072,12934.380835672027
Gopalpur Upazila Health Complex,10000607,Dhaka,Tangail,Gopalpur,subdistrict,24.5498899,89.92717809999999,37134.34150390625
Goshairhat Upazila Health Complex,10000546,Dhaka,Shariatpur,Gosairhat,subdistrict,23.078989,90.42886829999999,17330.526790364584
Gouripur Upazila Health Complex,10000373,Mymensingh,Mymensingh,Gauripur,subdistrict,24.7708597,90.5693264,28806.058143028848
Gournadi Upazila Health Complex,10001982,Barishal,Barishal,Gaurnadi,subdistrict,22.9619447,90.2259318,21373.403170072117
Gowainghat Upazila Health Complex,10002186,Sylhet,Sylhet,Gowainghat,subdistrict,25.0895214,91.9798191,17102.80058149858
Gurudashpur Upazila Health Complex,10001424,Rajshahi,Natore,Gurudaspur,subdistrict,24.3688168,89.2370634,17131.100576547477
"Habiganj District Hospital, Habiganj",10002071,Sylhet,Habiganj,Habiganj Sadar,district,24.373323,91.41763999999999,19576.447368421053
Haimchar Upazila Health Complex,10000708,Chattogram,Chandpur,Haimchar,subdistrict,23.0947534,90.6621859,33137.90215773809
Hakimpur Upazila Health Complex,10001226,Rangpur,Dinajpur,Hakimpur,subdistrict,25.2860578,89.012652,19470.29703125
Haluaghat Upazila Health Complex,10000379,Mymensingh,Mymensingh,Haluaghat,subdistrict,25.1183767,90.3386664,14878.372597023294
Haripur Upazila Health Complex,10001673,Rangpur,Thakurgaon,Haripur,subdistrict,25.8336127,88.13245359999999,15324.117884318033
Harirampur Upazila Health Complex,10000288,Dhaka,Manikganj,Harirampur,subdistrict,23.7426415,89.9756586,23873.496744791668
Hathazari Upazila Health Complex,10000786,Chattogram,Chattogram,Hathazari,subdistrict,22.5088437,91.804165,30981.041701543898
Hatibandha Upazila Health Complex,10001342,Rangpur,Lalmonirhat,Hatibandha,subdistrict,26.1217466,89.1411406,14123.698009144176
Hatiya Upazila Health Complex,10001037,Chattogram,Noakhali,Hatiya,subdistrict,22.2876868,91.1415992,15788.091770717076
Hijla Upazila Health Complex,10001984,Barishal,Barishal,Hizla,subdistrict,22.928412,90.44125489999999,19292.868800951088
Homna Upazila Health Complex,10000887,Chattogram,Cumilla,Homna,subdistrict,23.681142,90.7823501,24426.118910845587
Hossainpur Upazila Health Complex,10000232,Dhaka,Kishoreganj,Hossainpur,subdistrict,24.417774,90.65625849999999,26011.071655273438
Indurkani Upazila Health Complex,10002069,Barishal,Pirojpur,Indurkani,subdistrict,22.4802276,89.96140369999999,15004.6935546875
Islampur Upazila Health Complex,10000196,Mymensingh,Jamalpur,Islampur,subdistrict,25.0778469,89.799385,28442.518229166668
Iswardi Upazila Health Complex,10001482,Rajshahi,Pabna,Ishwardi,subdistrict,24.1271941,89.0715208,21096.32440185547
Iswarganj Upazila Health Complex,10000383,Mymensingh,Mymensingh,Ishwarganj,subdistrict,24.68995,90.6109697,32011.198649088543
Itna Upazila Health Complex,10000234,Dhaka,Kishoreganj,Itna,subdistrict,24.5275596,91.09379469999999,11595.824110243055
Jagannathpur Upazila Health Complex,10002149,Sylhet,Sunamganj,Jagannathpur,subdistrict,24.7789419,91.5634596,17584.147793856533
Jaintapur Upazila Health Complex,10002188,Sylhet,Sylhet,Jaintiapur,subdistrict,25.136217,92.12638249999999,15510.99130045573
Jaldhaka Upazila Health Complex,10001455,Rangpur,Nilphamari,Jaldhaka,subdistrict,26.0233955,89.0058327,24557.566040039063
Jamalganj Upazila Health Complex,10002150,Sylhet,Sunamganj,Jamalganj,subdistrict,24.9983704,91.23606579999999,18958.934814453125
Jamalpur 250 Beded General Hospital,10000208,Mymensingh,Jamalpur,Jamalpur Sadar,district,24.9407085,89.93395799999999,30323.721741495254
Jassore 250 bed General Hospital,10013096,Khulna,Jashore,Jashore Sadar,district,23.1687959,89.20915869999999,18223.07481292357
Jhalokathi District Hospital,10002025,Barishal,Jhalokathi,Jhalokathi Sadar,district,22.6863517,90.3614666,20948.336339613972
Jhenaidah District Hospital,10001776,Khulna,Jhenaidah,Jhenaidah Sadar,district,23.5306696,89.17223659999999,18397.99918428309
Jhenaigati Upazila Health Complex,10000565,Mymensingh,Sherpur,Jhenaigati,subdistrict,25.1824278,90.0664437,22211.884310913087
Jhikargacha Upazila Health Complex,10001759,Khulna,Jashore,Jhikargacha,subdistrict,23.0999066,89.0991083,27497.48671875
Jibannagar Upazila Health Complex,10001734,Khulna,Chuadanga,Jibannagar,subdistrict,23.4266939,88.82359939999999,16159.488340250651
Joypurhat District Hospital,10001298,Rajshahi,Joypurhat,Joypurhat Sadar,district,25.0916036,89.0489814,15842.163207344387
Juraichari Upazila Health Complex,10001074,Chattogram,Rangamati,Juraichari,subdistrict,22.7244254,92.3805678,1895.3817504882813
Juri Upazila Health Complex,10002097,Sylhet,Maulvibazar,Juri,subdistrict,24.6074066,92.1269468,16484.91825727983
Kabirhat Upazila Health Complex,10001041,Chattogram,Noakhali,Kabirhat,subdistrict,22.7956429,91.1989169,34032.857747395836
Kachua Upazila Health Complex,10000715,Chattogram,Chandpur,Kachua,subdistrict,23.340233,90.88992139999999,29306.909583782326
