org_name,org_code,division,district,upazila,org_lvl,LAT,LON,wt
Abhoynagar Upazila Health Complex,10001737,Khulna,Jashore,Abhaynagar,subdistrict,23.0221697,89.395584,17003.55419921875
Adamdighi Upazila Health Complex,10001095,Rajshahi,Bogura,Adamdighi,subdistrict,24.8222349,89.044119,20623.671875
Aditmari Upazila Health Complex,10001339,Rangpur,Lalmonirhat,Aditmari,subdistrict,25.9255186,89.3439373,26133.547433035714
Agailjhara Upazila Health Complex,10001948,Barishal,Barishal,Agailjhara,subdistrict,22.9634888,90.1831576,18781.47001953125
Ajmiriganj Upazila Health Complex,10002074,Sylhet,Habiganj,Ajmiriganj,subdistrict,24.5522744,91.2346678,9952.035267857143
Akhaura Upazila Health Complex,10000663,Chattogram,Brahmanbaria,Akhaura,subdistrict,23.8643892,91.2032366,32747.538126627605
Akkelpur Upazila Health Complex,10001289,Rajshahi,Joypurhat,Akkelpur,subdistrict,24.9674097,89.02301130000001,14246.791612413195
Alamdanga Upazila Health Complex,10001719,Khulna,Chuadanga,Alamdanga,subdistrict,23.7885968,88.9029102,17095.232862903227
Alfadanga Upazila Health Complex,10000085,Dhaka,Faridpur,Alfadanga,subdistrict,23.2946288,89.7071758,15672.184627757353
Alikadam Upazila Health Complex,10000652,Chattogram,Bandarban,Alikadam,subdistrict,21.6523964,92.31191799999999,1721.5767181396484
Amtali Upazila Health Complex,10001933,Barishal,Barguna,Amtali,subdistrict,22.1303784,90.2301825,13194.74462890625
Anwara Upazila Health Complex,10000729,Chattogram,Chattogram,Anowara,subdistrict,22.2243276,91.88901829999999,54635.37082741477
Araihazar Upazila Health Complex,10000415,Dhaka,Narayanganj,Araihazar,subdistrict,23.7905186,90.6606522,42653.55307904412
Ashugonj Upazila Health Complex,10000665,Chattogram,Brahmanbaria,Ashuganj,subdistrict,24.0640154,90.9868276,35246.47329799107
Assasuni Upazila Health Complex,10001914,Khulna,Satkhira,Assasuni,subdistrict,22.5470483,89.1776775,13463.649979202835
Atgharia Upazila Health Complex,10001472,Rajshahi,Pabna,Atgharia,subdistrict,24.1147584,89.24300559999999,27448.115658967392
