org_name,org_code,division,district,upazila,org_lvl,LAT,LON,wt
Bera Upazila Health Complex,10001476,Rajshahi,Pabna,Bera,subdistrict,24.0776786,89.61486430000001,3437.7229966665313
Betagi Upazila Health Complex,10001945,Barishal,Barguna,Betagi,subdistrict,22.4136076,90.1601787,2806.586755792079
Bhairab Upazila Health Complex,10000230,Dhaka,Kishoreganj,Bhairab,subdistrict,24.0640154,90.9868276,4865.83070795223
Bhandaria Upazila Health Complex,10002055,Barishal,Pirojpur,Bhandaria,subdistrict,22.4897195,90.0589013,2761.474176404057
Bhanga Upazila Health Complex,10000089,Dhaka,Faridpur,Bhanga,subdistrict,23.3827255,89.9810529,3372.3412029364836
Bhangura Upazila Health Complex,10001473,Rajshahi,Pabna,Bhangura,subdistrict,24.2127755,89.3781084,2577.8242350984565
Bhedarganj Upazila Health Complex,10000541,Dhaka,Shariatpur,Bhedarganj,subdistrict,23.1977488,90.4476433,4460.885098542824
Bheramara Upazila Health Complex,10001830,Khulna,Kushtia,Bheramara,subdistrict,24.0325349,89.0048949,4187.505542687052
Bhola District Hospital,10002002,Barishal,Bhola,Bhola Sadar,district,22.6757402,90.6557361,3797.556588389388
Bholahat Upazila Health Complex,10001163,Rajshahi,Chapai Nawabganj,Bholahat,subdistrict,24.9363316,88.22329529999999,3170.6900276901197
Bhuapur Upazila Health Complex,10000586,Dhaka,Tangail,Bhuapur,subdistrict,24.4629235,89.8746932,4820.795113989563
Bhurungamari Upazila Health Complex,10001308,Rangpur,Kurigram,Bhurungamari,subdistrict,26.119676,89.6648689,3064.766262071468
Bijoynagar Upazila Health Complex,10013108,Chattogram,Brahmanbaria,Bijoynagar,subdistrict,24.0141859,91.2265536,4329.427571247015
Birampur Upazila Health Complex,10001189,Rangpur,Dinajpur,Birampur,subdistrict,25.3952853,88.98730169999999,2718.6488540954065
Birganj Upazila Health Complex,10001193,Rangpur,Dinajpur,Birganj,subdistrict,25.880177,88.6358944,2780.626818358585
