org_name,org_code,division,district,upazila,org_lvl,wt,LAT,LON
Abhoynagar Upazila Health Complex,10001737,Khulna,Jashore,Abhaynagar,subdistrict,0.7666014453428109,23.0221697,89.395584
Adamdighi Upazila Health Complex,10001095,Rajshahi,Bogura,Adamdighi,subdistrict,0.7989139414408372,24.8222349,89.044119
Aditmari Upazila Health Complex,10001339,Rangpur,Lalmonirhat,Aditmari,subdistrict,0.7753446044167116,25.9255186,89.3439373
Agailjhara Upazila Health Complex,10001948,Barishal,Barishal,Agailjhara,subdistrict,0.8628311031493524,22.9634888,90.1831576
Ajmiriganj Upazila Health Complex,10002074,Sylhet,Habiganj,Ajmiriganj,subdistrict,0.8969343835685025,24.5522744,91.2346678
Akhaura Upazila Health Complex,10000663,Chattogram,Brahmanbaria,Akhaura,subdistrict,0.8505352807528086,23.8643892,91.2032366
Akkelpur Upazila Health Complex,10001289,Rajshahi,Joypurhat,Akkelpur,subdistrict,0.825684061376557,24.9674097,89.02301130000001
Alamdanga Upazila Health Complex,10001719,Khulna,Chuadanga,Alamdanga,subdistrict,0.9194559393749941,23.7885968,88.9029102
Alfadanga Upazila Health Complex,10000085,Dhaka,Faridpur,Alfadanga,subdistrict,0.8978174588250064,23.2946288,89.7071758
Alikadam Upazila Health Complex,10000652,Chattogram,Bandarban,Alikadam,subdistrict,0.8355199128356758,21.6523964,92.31191799999999
Amtali Upazila Health Complex,10001933,Barishal,Barguna,Amtali,subdistrict,1.7397735520813737,22.1303784,90.2301825
Anwara Upazila Health Complex,10000729,Chattogram,Chattogram,Anowara,subdistrict,1.1687743838091371,22.2243276,91.88901829999999
Araihazar Upazila Health Complex,10000415,Dhaka,Narayanganj,Araihazar,subdistrict,0.6533518885622713,23.7905186,90.6606522
Ashugonj Upazila Health Complex,10000665,Chattogram,Brahmanbaria,Ashuganj,subdistrict,0.8096795814241557,24.0640154,90.9868276
Assasuni Upazila Health Complex,10001914,Khulna,Satkhira,Assasuni,subdistrict,0.9313114962127038,22.5470483,89.1776775
Atgharia Upazila Health Complex,10001472,Rajshahi,Pabna,Atgharia,subdistrict,0.7051857989268236,24.1147584,89.24300559999999
Atpara Upazila Health Complex,10000466,Mymensingh,Netrakona,Atpara,subdistrict,0.8112856475537733,24.8099522,90.86200269999999
Atrai Upazila Health Complex,10001363,Rajshahi,Naogaon,Atrai,subdistrict,0.8213960611169502,24.611162,88.97819969999999
Atwari Upazila Health Complex,10001500,Rangpur,Panchagarh,Atwari,subdistrict,0.7594604230298997,26.2371141,88.4092577
Austagram Upazila Health Complex,10000223,Dhaka,Kishoreganj,Austagram,subdistrict,1.2111335769475726,24.2733317,91.1032314
Babuganj Upazila Health Complex,10001955,Barishal,Barishal,Babuganj,subdistrict,0.8880455325470292,22.8264539,90.3082433
Badalgachi Upazila Health Complex,10001370,Rajshahi,Naogaon,Badalgachhi,subdistrict,0.799678956797212,24.9607274,88.90577669999999
Badarganj Upazila Health Complex,10001575,Rangpur,Rangpur,Badarganj,subdistrict,0.8292619146919543,25.673455,89.0493125
Bagerhat District Hospital,10001693,Khulna,Bagerhat,Bagerhat Sadar,district,0.935281046610111,22.7955887,89.8726916
Bagha Upazila Health Complex,10001527,Rajshahi,Rajshahi,Bagha,subdistrict,0.9387428519515298,24.1987913,88.8378535
Baghaichari Upazila Health Complex,10001067,Chattogram,Rangamati,Baghaichari,subdistrict,0.8650941416878077,22.9669729,92.2007605
Bagherpara Upazila Health Complex,10001741,Khulna,Jashore,Bagherpara,subdistrict,0.7384802867425886,23.2191034,89.34433419999999
Bagmara Upazila Health Complex,10001523,Rajshahi,Rajshahi,Baghmara,subdistrict,0.9224768820316473,24.5594502,88.80393579999999
Bahubal Upazila Health Complex,10002075,Sylhet,Habiganj,Bahubal,subdistrict,0.9605602885301078,24.3391251,91.5381503
Bajitpur Upazila Health Complex,10000227,Dhaka,Kishoreganj,Bajitpur,subdistrict,0.8096177937861956,24.2139055,90.96489319999999
Bakerganj Upazila Health Complex,10001963,Barishal,Barishal,Bakerganj,subdistrict,0.8997020759861349,22.5388143,90.34633219999999
Bakshiganj Upazila Health Complex,10000188,Mymensingh,Jamalpur,Bakshiganj,subdistrict,0.973976987366864,25.177373,89.87068239999999
Balaganj Upazila Health Complex,10002164,Sylhet,Sylhet,Balaganj,subdistrict,0.8979289462964389,24.6550741,91.83655759999999
Baliadangi Upazila Health Complex,10001671,Rangpur,Thakurgaon,Baliadangi,subdistrict,0.6175915176976634,26.0967079,88.2763784
Baliakandi Upazila Health Complex,10000505,Dhaka,Rajbari,Baliakandi,subdistrict,0.8259247459132412,23.6320888,89.5494684
Bamna Upazila Health Complex,10001937,Barishal,Barguna,Bamna,subdistrict,1.1105287085350695,22.3097209,90.0929304
Banaripara Upazila Health Complex,10001966,Barishal,Barishal,Banaripara,subdistrict,0.8750810521632675,22.7795615,90.160325
Bancharampur Upazila Health Complex,10000667,Chattogram,Brahmanbaria,Banchharampur,subdistrict,0.7930205701963712,23.7712295,90.80182529999999
Bandar Upazila Health Complex,10000420,Dhaka,Narayanganj,Bandar,subdistrict,0.6041491473635288,23.6290652,90.52533919999999
Bandarban District Hospital,10000655,Chattogram,Bandarban,Bandarban Sadar,district,0.9642305755635857,22.1896135,92.2264957
Baniachong Upazila Health Complex,10002077,Sylhet,Habiganj,Baniachong,subdistrict,0.9270780019081257,24.5043556,91.363973
Banshkhali Upazila Health Complex,10000734,Chattogram,Chattogram,Banshkhali,subdistrict,1.3001982191498436,22.0017357,91.9503596
Baraigram Upazila Health Complex,10001421,Rajshahi,Natore,Baraigram,subdistrict,0.8172735725165073,24.3121676,89.16629840000002
Barguna District Hospital,10001943,Barishal,Barguna,Barguna Sadar,district,1.4375943868782994,22.156242,90.12789
Barhatta Upazila Health Complex,10000468,Mymensingh,Netrakona,Barhatta,subdistrict,0.8076407814187118,24.8978283,90.8872695
Barisal General Hospital,10001972,Barishal,Barishal,Barishal Sadar,district,0.8911739398243883,22.7086412,90.37027479999999
Barkal Upazila Health Complex,10001070,Chattogram,Rangamati,Barkal,subdistrict,0.8798285559501974,22.7244254,92.3805678
Barlekha Upazila Health Complex,10002096,Sylhet,Maulvibazar,Barlekha,subdistrict,0.871988228351088,24.6937111,92.1849536
Barura Upazila Health Complex,10000842,Chattogram,Cumilla,Barura,subdistrict,0.9477028488345646,23.3768341,91.05928689999999
Basail Upazila Health Complex,10000581,Dhaka,Tangail,Basail,subdistrict,0.683147636788839,24.2290094,90.05453469999999
Batiaghata Upazila Health Complex,10001792,Khulna,Khulna,Batiaghata,subdistrict,1.2492790847315411,22.7386876,89.51466429999999
Bauphal Upazila Health Complex,10002033,Barishal,Patuakhali,Bauphal,subdistrict,0.9672655545114461,22.4145776,90.56198289999999
Beanibazar Upazila Health Complex,10002172,Sylhet,Sylhet,Beanibazar,subdistrict,0.8667449387494633,24.8285578,92.16258470000001
Begumganj Upazila Health Complex,10001028,Chattogram,Noakhali,Begumganj,subdistrict,0.41948572115065585,22.9439053,91.11057249999999
Belabo Upazila Health Complex,10000436,Dhaka,Narsingdi,Belabo,subdistrict,0.5977173503398252,24.1066467,90.8514301
Belaichari Upazila Health Complex,10001072,Chattogram,Rangamati,Belaichari,subdistrict,0.8891098260830942,22.3622596,92.49999179999999
Belkuchi Upazila Health Complex,10001624,Rajshahi,Sirajganj,Belkuchi,subdistrict,0.7504290784310794,24.2948402,89.69601589999999
Bera Upazila Health Complex,10001476,Rajshahi,Pabna,Bera,subdistrict,0.714928566046626,24.0776786,89.61486430000001
Betagi Upazila Health Complex,10001945,Barishal,Barguna,Betagi,subdistrict,0.9616415700642169,22.4136076,90.1601787
Bhairab Upazila Health Complex,10000230,Dhaka,Kishoreganj,Bhairab,subdistrict,0.8096795814241557,24.0640154,90.9868276
Bhandaria Upazila Health Complex,10002055,Barishal,Pirojpur,Bhandaria,subdistrict,0.9512897654928606,22.4897195,90.0589013
Bhanga Upazila Health Complex,10000089,Dhaka,Faridpur,Bhanga,subdistrict,0.9620270357352891,23.3827255,89.9810529
Bhangura Upazila Health Complex,10001473,Rajshahi,Pabna,Bhangura,subdistrict,0.7003170664995947,24.2127755,89.3781084
Bhedarganj Upazila Health Complex,10000541,Dhaka,Shariatpur,Bhedarganj,subdistrict,0.8447476178784104,23.1977488,90.4476433
Bheramara Upazila Health Complex,10001830,Khulna,Kushtia,Bheramara,subdistrict,0.9193966708627537,24.0325349,89.0048949
