org_name,org_code,division,district,upazila,org_lvl,wt,LAT,LON
Bhola District Hospital,10002002,Barishal,Bhola,Bhola Sadar,district,1.0185481747913925,22.6757402,90.6557361
Bholahat Upazila Health Complex,10001163,Rajshahi,Chapai Nawabganj,Bholahat,subdistrict,0.843383027700687,24.9363316,88.22329529999999
Bhuapur Upazila Health Complex,10000586,Dhaka,Tangail,Bhuapur,subdistrict,0.8152409293756246,24.4629235,89.8746932
Bhurungamari Upazila Health Complex,10001308,Rangpur,Kurigram,Bhurungamari,subdistrict,0.853552893823663,26.119676,89.6648689
Bijoynagar Upazila Health Complex,10013108,Chattogram,Brahmanbaria,Bijoynagar,subdistrict,0.9069477388021205,24.0141859,91.2265536
Birampur Upazila Health Complex,10001189,Rangpur,Dinajpur,Birampur,subdistrict,0.7620238743069186,25.3952853,88.98730169999999
Birganj Upazila Health Complex,10001193,Rangpur,Dinajpur,Birganj,subdistrict,0.8392964198327045,25.880177,88.6358944
Birol Upazila Health Complex,10001200,Rangpur,Dinajpur,Biral,subdistrict,0.8399708196953439,25.636288,88.5539635
Bishwanath Upazila Health Complex,10002177,Sylhet,Sylhet,Bishwanath,subdistrict,0.8737629663644775,24.839986,91.7248377
Biswambarpur Upazila Health Complex,10002127,Sylhet,Sunamganj,Bishwambarpur,subdistrict,0.873332388420948,25.0987573,91.299939
Boalkhali Upazila Health Complex,10000740,Chattogram,Chattogram,Boalkhali,subdistrict,0.9921584962034401,22.3744591,91.9192144
Boalmari Upazila Health Complex,10000095,Dhaka,Faridpur,Boalmari,subdistrict,0.8735181947252072,23.3916388,89.68525749999999
Bochaganj Upazila Health Complex,10001201,Rangpur,Dinajpur,Bochaganj,subdistrict,0.823976220183186,25.7999526,88.4665782
Boda Upazila Health Complex,10001502,Rangpur,Panchagarh,Boda,subdistrict,0.8742311240222713,26.2026511,88.554039
Bogra 250 bed Mohammad Ali District Hospital,10001109,Rajshahi,Bogura,Bogura Sadar,tertiary,0.8449514616158309,24.8356039,89.3741702
Borhanuddin Upazila Health Complex,10002004,Barishal,Bhola,Burhanuddin,subdistrict,1.264065545685624,22.4963235,90.718772
Brahmanbaria 250 Bed District Sadar Hospital,10000672,Chattogram,Brahmanbaria,Brahmanbaria Sadar,district,0.8619628190550935,23.9762236,91.11117180000001
Brahmanpara Upazila Health Complex,10000846,Chattogram,Cumilla,Brahmanpara,subdistrict,0.8053529797467056,23.6133333,91.0943145
Burichong Upazila Health Complex,10000847,Chattogram,Cumilla,Burichang,subdistrict,0.7944498349026525,23.5570703,91.1270572
Chaddagram Upazila Health Complex,10000852,Chattogram,Cumilla,Chauddagram,subdistrict,0.7710815905554788,23.2237444,91.3137728
Chakaria Upazila Health Complex,10000918,Chattogram,Cox's Bazar,Chakaria,subdistrict,0.9046950883249222,21.7617554,92.0746398
Chandanaish Upazila Health Complex,10000748,Chattogram,Chattogram,Chandanaish,subdistrict,1.0552641964847813,22.2114681,92.0101031
Chandina Upazila Health Complex,10000857,Chattogram,Cumilla,Chandina,subdistrict,0.7453306160191975,23.4882887,90.9984257
Chandpur 250 Bed General Hospital,10000700,Chattogram,Chandpur,Chandpur Sadar,district,0.8120807260082467,23.2231817,90.6530009
Chapai Nababganj District Hospital,10001186,Rajshahi,Chapai Nawabganj,Chapai Nababganj Sadar,district,0.9314489512535001,24.5980828,88.26547479999999
Charbhadrason Upazila Health Complex,10000098,Dhaka,Faridpur,Char Bhadrasan,subdistrict,0.8658127331129241,23.563364,90.0004371
Charfession Upazila Health Complex,10002006,Barishal,Bhola,Charfession,subdistrict,0.884793587958699,22.1840322,90.7630241
Charghat Upazila Health Complex,10001528,Rajshahi,Rajshahi,Charghat,subdistrict,1.1524437762068975,24.2805649,88.7507528
Chatkhil Upazila Health Complex,10001031,Chattogram,Noakhali,Chatkhil,subdistrict,0.6034900304826311,23.0600994,90.9696512
Chatmohar Upazila Health Complex,10001479,Rajshahi,Pabna,Chatmohar,subdistrict,0.7239263961148759,24.2327452,89.2869509
Chhagalnaya Upazila Health Complex,10000942,Chattogram,Feni,Chhagalnaiya,subdistrict,0.9096617256852789,23.0388683,91.51629559999999
Chhatak Upazila Health Complex,10002130,Sylhet,Sunamganj,Chhatak,subdistrict,0.858591158420641,25.0345323,91.6681278
Chilmari Upazila Health Complex,10001313,Rangpur,Kurigram,Chilmari,subdistrict,1.047716032769971,25.5812227,89.66001829999999
Chirirbandar Upazila Health Complex,10001203,Rangpur,Dinajpur,Chirirbandar,subdistrict,0.8492108874311913,25.6506696,88.7725449
Chitalmari Upazila Health Complex,10001696,Khulna,Bagerhat,Chitalmari,subdistrict,0.9168480620692585,22.7954188,89.8731677
Chittagong 250 Bed General Hospital,10000753,Chattogram,Chattogram,Kotwali,district,1.0430738859603583,22.3406339,91.8377319
Chittagong Medical College Hospital,10000756,Chattogram,Chattogram,Panchlaish,tertiary,1.0168196624568822,22.3592709,91.8308045
Chowgacha Upazila Health Complex,10001744,Khulna,Jashore,Chaugacha,subdistrict,0.8088502719459724,23.2594433,89.02491169999999
Chowhali Upazila Health Complex,10001629,Rajshahi,Sirajganj,Chauhali,subdistrict,0.7199683218473272,24.072394,89.7567693
Chuadanga District Hospital,10001723,Khulna,Chuadanga,Chuadanga Sadar,district,0.8641409875010732,23.617779,88.8733006
"Chunarughat Upazila Health Complex, Hobigonj.",10002078,Sylhet,Habiganj,Chunarughat,subdistrict,0.9194650306434605,24.1993876,91.51859309999999
Comilla General Hospital,10000864,Chattogram,Cumilla,Cumilla Adarsha Sadar,district,0.861393823139413,23.4499746,91.1782827
Comilla Sadar Daxin Upazila Health Complex,10000862,Chattogram,Cumilla,Cumilla Sadar Dakshin,subdistrict,0.8555721350531889,23.4547096,91.1812348
Companiganj Upazila Health Complex,10001033,Chattogram,Noakhali,Companiganj,subdistrict,0.8545536702416778,25.0855552,91.7566198
Companiganj Upazila Health Complex,10002209,Sylhet,Sylhet,Companiganj,subdistrict,0.8545536702416778,25.0855552,91.7566198
Cox's Bazar 250 Bed District Sadar Hospital,10000922,Chattogram,Cox's Bazar,Cox's Bazar Sadar,district,0.8196241346304899,21.4409036,91.9766003
Cumilla Medical College Hospital,10000867,Chattogram,Cumilla,Cumilla Adarsha Sadar,tertiary,0.8376622055892081,23.4515415,91.2029603
Dacope Upazila Health Complex,10001794,Khulna,Khulna,Dacope,subdistrict,1.761936360268114,22.5994035,89.5176149
Daganbhuiya Upazila Health Complex,10000946,Chattogram,Feni,Daganbhuiyan,subdistrict,0.8574623025032158,22.8501032,91.39655979999999
Dakhin Surma Upazila Health Complex,10002243,Sylhet,Sylhet,Dakshin Surma,subdistrict,0.8702905270191463,24.8292266,91.9010356
Dakshin Sunamganj Upazila Health Complex,10002134,Sylhet,Sunamganj,Dakshin Sunamganj,subdistrict,0.8580523213443934,25.0658556,91.4094135
Damudya Upazila Health Complex,10000544,Dhaka,Shariatpur,Damudya,subdistrict,0.8510746198218951,23.1379536,90.44286699999999
Damurhuda Upazila Health Complex,10001731,Khulna,Chuadanga,Damurhuda,subdistrict,0.863475178911795,23.613707,88.7635289
Dashmina Upazila Health Complex,10002034,Barishal,Patuakhali,Dashmina,subdistrict,0.9395662414308351,22.2825494,90.5645059
Daudkandi Upazila Health Complex,10000875,Chattogram,Cumilla,Daudkandi,subdistrict,0.657039539089447,23.5297817,90.7834439
Daulatkhan Upazila Health Complex,10002008,Barishal,Bhola,Daulatkhan,subdistrict,1.361220155101174,22.6051058,90.7458551
Daulatpur Upazila Health Complex,10000277,Dhaka,Manikganj,Daulatpur,subdistrict,0.777282217252175,23.9663768,89.82928489999999
Daulatpur Upazila Health Complex,10002214,Khulna,Kushtia,Daulatpur,subdistrict,0.777282217252175,23.9663768,89.82928489999999
Debidwar Upazila Health Complex,10000883,Chattogram,Cumilla,Debidwar,subdistrict,0.7637548523730928,23.6035733,90.9883407
Debiganj Upazila Health Complex,10001506,Rangpur,Panchagarh,Debiganj,subdistrict,0.8871742370432658,26.1163162,88.7557933
Delduar Upazila Health Complex,10000591,Dhaka,Tangail,Delduar,subdistrict,0.6170953850547686,24.1641829,89.96865939999999
Derai Upazila Health Complex,10002136,Sylhet,Sunamganj,Derai,subdistrict,0.8734709285504332,24.8473266,91.2339315
Dewanganj Upazila Health Complex,10000191,Mymensingh,Jamalpur,Dewanganj,subdistrict,0.9609911754899769,25.1617691,89.75889869999999
Dhaka Medical College Hospital,10000033,Dhaka,Dhaka,Shahbagh,tertiary,0.685784013779007,23.7256553,90.3970882
Dhamrai Upazila Health Complex,10000064,Dhaka,Dhaka,Dhamrai,subdistrict,0.7711383484123936,23.9135162,90.2275441
Dhanbari Upazila Health Complex,10000595,Dhaka,Tangail,Dhanbari,subdistrict,0.9149738035041705,24.6898613,89.9542883
Dharmapasha Upazila Health Complex,10002138,Sylhet,Sunamganj,Dharampasha,subdistrict,0.8199579170314701,24.9034455,91.0056735
Dhubaura Upazila Health Complex,10000355,Mymensingh,Mymensingh,Dhobaura,subdistrict,0.7157594276285633,25.0902996,90.5137506
Dhunat Upazila Health Complex,10001115,Rajshahi,Bogura,Dhunat,subdistrict,0.8368482237186091,24.6916734,89.535905
Dhupchachia Upazila Health Complex,10001117,Rajshahi,Bogura,Dhupchanchia,subdistrict,0.8374278764958641,24.8761591,89.1723974
Dighalia Upazila Health Complex,10001797,Khulna,Khulna,Dighalia,subdistrict,1.304100712963762,22.8730466,89.52459859999999
Dighinala Upazila Health Complex,10000973,Chattogram,Khagrachari,Dighinala,subdistrict,0.884544223709138,23.2495553,92.0666729
Dimla Upazila Health Complex. Nilphamari,10001442,Rangpur,Nilphamari,Dimla,subdistrict,0.8541556972366611,26.1572451,88.92477269999999
Dinajpur 250 bed General Hospital,10001214,Rangpur,Dinajpur,Dinajpur Sadar,district,0.8378775153228478,25.6258212,88.63687589999999
Doarabazar Upazila Health Complex,10002143,Sylhet,Sunamganj,Dowarabazar,subdistrict,0.8572991450573331,25.0428276,91.567837
Dohar Upazila Health Complex,10000069,Dhaka,Dhaka,Dohar,subdistrict,0.8424352732633069,23.6157665,90.12273909999999
Domar Upazila Health Complex,10001450,Rangpur,Nilphamari,Domar,subdistrict,0.8654778124943359,26.1140528,88.85360229999999
Dumki Upazila Health Complex,10002035,Barishal,Patuakhali,Dumki,subdistrict,0.9252211130438305,22.4706533,90.3836524
Dumuria Upazila Health Complex,10001799,Khulna,Khulna,Dumuria,subdistrict,1.1390404109048766,22.8098382,89.4100684
Durgapur Upazila Health Complex,10000470,Rajshahi,Rajshahi,Durgapur,subdistrict,0.7797311472908813,25.1282929,90.6786839
Durgapur Upazila Health Complex,10002304,Mymensingh,Netrakona,Durgapur,subdistrict,0.7797311472908813,25.1282929,90.6786839
Fakirhat Upazila Health Complex,10001701,Khulna,Bagerhat,Fakirhat,subdistrict,1.0611284084949966,22.7778718,89.70012779999999
Faridganj Upazila Health Complex,10000706,Chattogram,Chandpur,Faridganj,subdistrict,0.8261396167872976,23.122725,90.7545435
Faridpur General Hospital,10000105,Dhaka,Faridpur,Faridpur Sadar,district,0.8645027699406745,23.6049185,89.83647409999999
Faridpur Medical College Hospital,10000108,Dhaka,Faridpur,Faridpur Sadar,tertiary,0.8690820674415046,23.5880489,89.8352342
Faridpur Upazila Health Complex,10001481,Rajshahi,Pabna,Faridpur,subdistrict,0.7280019688860415,24.1605862,89.4570565
Fatikchari Upazila Health Complex,10000781,Chattogram,Chattogram,Fatikchari,subdistrict,0.9053398677352746,22.6366553,91.7952699
Fenchuganj Upazila Health Complex,10002181,Sylhet,Sylhet,Fenchuganj,subdistrict,0.8921359385596446,24.6970174,91.93832689999999
Feni 250 Bed District Sadar Hospital,10000954,Chattogram,Feni,Feni Sadar,district,0.7775260170421339,23.0159132,91.39758309999999
Fulbari Upazila Health Complex,10001220,Rangpur,Dinajpur,Fulbari,subdistrict,0.7902156302841199,25.5015095,88.9487077
Fulbari Upazila Health Complex,10002235,Rangpur,Kurigram,Phulbari,subdistrict,0.7902156302841199,25.5015095,88.9487077
Fulbaria Upazila Health Complex,10000358,Mymensingh,Mymensingh,Fulbaria,subdistrict,1.113361052451512,24.6265478,90.2792457
Fulchari Upazila Health Complex,10001244,Rangpur,Gaibandha,Fulchhari,subdistrict,0.9556506129754097,25.2480253,89.57703889999999
Fulgazi Upazila Health Complex,10000960,Chattogram,Feni,Fulgazi,subdistrict,0.865299665409247,23.1058338,91.4321219
Fultala Upazila Health Complex,10001801,Khulna,Khulna,Phultala,subdistrict,1.0588699146421026,22.9572429,89.4807699
Gabtali Upazila Health Complex,10001122,Rajshahi,Bogura,Gabtali,subdistrict,0.8481056579152765,24.878177,89.4492502
Gaibandha District Hospital,10001254,Rangpur,Gaibandha,Gaibandha Sadar,district,1.0009918502150006,25.3259361,89.5493315
Galachipa Upazila Health Complex,10002039,Barishal,Patuakhali,Galachipa,subdistrict,1.1393743924285993,22.1659553,90.4204714
Gangachara Upazila Health Complex,10001579,Rangpur,Rangpur,Gangachara,subdistrict,0.7593857002115494,25.8544999,89.2219824
Gangni Upazila Health Complex,10001891,Khulna,Meherpur,Gangni,subdistrict,0.8651495596255357,23.8163155,88.7443078
Gazaria Upazila Health Complex,10000317,Dhaka,Munshiganj,Gazaria,subdistrict,0.6485163885379965,23.5529662,90.65290999999999
Ghatail Upazila Health Complex,10000601,Dhaka,Tangail,Ghatail,subdistrict,0.8204758672921552,24.4843994,89.97355449999999
Ghior Upazila Health Complex,10000281,Dhaka,Manikganj,Ghior,subdistrict,0.8164845678859406,23.891514,89.87653
Ghoraghat Upazila Health Complex,10001224,Rangpur,Dinajpur,Ghoraghat,subdistrict,0.7850695118002116,25.256138,89.2399243
Goalanda Upazila Health Complex,10000508,Dhaka,Rajbari,Goalanda,subdistrict,0.8412329631747092,23.723911,89.7469229
Gobindaganj Upazila Health Complex,10001265,Rangpur,Gaibandha,Gobindaganj,subdistrict,0.8495599575533571,25.1425361,89.38607449999999
Godagari Upazila Health Complex,10001539,Rajshahi,Rajshahi,Godagari,subdistrict,1.3551727490093985,24.3969518,88.4107301
Gofargaon Upazila Health Complex,10000369,Mymensingh,Mymensingh,Gaffargaon,subdistrict,1.0784537666998646,24.4627428,90.54507319999999
Golapganj Upazila Health Complex,10002182,Sylhet,Sylhet,Golapganj,subdistrict,0.8727387680775237,24.8321998,92.02894580000002
Gomastapur Upazila Health Complex,10001167,Rajshahi,Chapai Nawabganj,Gomastapur,subdistrict,0.8411552415091266,24.8179161,88.3237791
Gopalganj 250 bed General Hospital,10002233,Dhaka,Gopalganj,Gopalganj Sadar,district,0.9333923232219113,22.9982121,89.8190072
Gopalpur Upazila Health Complex,10000607,Dhaka,Tangail,Gopalpur,subdistrict,0.8457049419563563,24.5498899,89.92717809999999
Goshairhat Upazila Health Complex,10000546,Dhaka,Shariatpur,Gosairhat,subdistrict,0.8506930031627187,23.078989,90.42886829999999
Gouripur Upazila Health Complex,10000373,Mymensingh,Mymensingh,Gauripur,subdistrict,0.8432609313193352,24.7708597,90.5693264
Gournadi Upazila Health Complex,10001982,Barishal,Barishal,Gaurnadi,subdistrict,0.8625129585178225,22.9619447,90.2259318
Gowainghat Upazila Health Complex,10002186,Sylhet,Sylhet,Gowainghat,subdistrict,0.8759889011596602,25.0895214,91.9798191
Gurudashpur Upazila Health Complex,10001424,Rajshahi,Natore,Gurudaspur,subdistrict,0.7922887040515632,24.3688168,89.2370634
"Habiganj District Hospital, Habiganj",10002071,Sylhet,Habiganj,Habiganj Sadar,district,1.0177182423598736,24.373323,91.41763999999999
Haimchar Upazila Health Complex,10000708,Chattogram,Chandpur,Haimchar,subdistrict,0.8343997862079019,23.0947534,90.6621859
Hakimpur Upazila Health Complex,10001226,Rangpur,Dinajpur,Hakimpur,subdistrict,0.7670236883781435,25.2860578,89.012652
Haluaghat Upazila Health Complex,10000379,Mymensingh,Mymensingh,Haluaghat,subdistrict,0.7711677798515465,25.1183767,90.3386664
Haripur Upazila Health Complex,10001673,Rangpur,Thakurgaon,Haripur,subdistrict,0.7766344768841691,25.8336127,88.13245359999999
Harirampur Upazila Health Complex,10000288,Dhaka,Manikganj,Harirampur,subdistrict,0.8467969312247287,23.7426415,89.9756586
Hathazari Upazila Health Complex,10000786,Chattogram,Chattogram,Hathazari,subdistrict,0.9070075376673711,22.5088437,91.804165
Hatibandha Upazila Health Complex,10001342,Rangpur,Lalmonirhat,Hatibandha,subdistrict,0.7238028012924443,26.1217466,89.1411406
Hatiya Upazila Health Complex,10001037,Chattogram,Noakhali,Hatiya,subdistrict,0.9072902649317893,22.2876868,91.1415992
Hijla Upazila Health Complex,10001984,Barishal,Barishal,Hizla,subdistrict,0.8697971192776424,22.928412,90.44125489999999
Homna Upazila Health Complex,10000887,Chattogram,Cumilla,Homna,subdistrict,0.7597171794215754,23.681142,90.7823501
Hossainpur Upazila Health Complex,10000232,Dhaka,Kishoreganj,Hossainpur,subdistrict,0.941804558966362,24.417774,90.65625849999999
Indurkani Upazila Health Complex,10002069,Barishal,Pirojpur,Indurkani,subdistrict,0.9718423732449224,22.4802276,89.96140369999999
Islampur Upazila Health Complex,10000196,Mymensingh,Jamalpur,Islampur,subdistrict,0.9052318905257052,25.0778469,89.799385
Iswardi Upazila Health Complex,10001482,Rajshahi,Pabna,Ishwardi,subdistrict,0.8361763912047051,24.1271941,89.0715208
Iswarganj Upazila Health Complex,10000383,Mymensingh,Mymensingh,Ishwarganj,subdistrict,0.8337276182223571,24.68995,90.6109697
Itna Upazila Health Complex,10000234,Dhaka,Kishoreganj,Itna,subdistrict,0.9070881161810099,24.5275596,91.09379469999999
Jagannathpur Upazila Health Complex,10002149,Sylhet,Sunamganj,Jagannathpur,subdistrict,0.8520458399807888,24.7789419,91.5634596
Jaintapur Upazila Health Complex,10002188,Sylhet,Sylhet,Jaintiapur,subdistrict,0.8860729658172131,25.136217,92.12638249999999
Jaldhaka Upazila Health Complex,10001455,Rangpur,Nilphamari,Jaldhaka,subdistrict,0.7796884271176194,26.0233955,89.0058327
Jamalganj Upazila Health Complex,10002150,Sylhet,Sunamganj,Jamalganj,subdistrict,0.8787431316887008,24.9983704,91.23606579999999
Jamalpur 250 Beded General Hospital,10000208,Mymensingh,Jamalpur,Jamalpur Sadar,district,0.9045743218000666,24.9407085,89.93395799999999
Jassore 250 bed General Hospital,10013096,Khulna,Jashore,Jashore Sadar,district,0.7108127462886192,23.1687959,89.20915869999999
Jhalokathi District Hospital,10002025,Barishal,Jhalokathi,Jhalokathi Sadar,district,0.8945447751058765,22.6863517,90.3614666
Jhenaidah District Hospital,10001776,Khulna,Jhenaidah,Jhenaidah Sadar,district,0.7455741152365727,23.5306696,89.17223659999999
Jhenaigati Upazila Health Complex,10000565,Mymensingh,Sherpur,Jhenaigati,subdistrict,0.9189065086850747,25.1824278,90.0664437
Jhikargacha Upazila Health Complex,10001759,Khulna,Jashore,Jhikargacha,subdistrict,0.734602661226192,23.0999066,89.0991083
Jibannagar Upazila Health Complex,10001734,Khulna,Chuadanga,Jibannagar,subdistrict,0.833062924509485,23.4266939,88.82359939999999
Joypurhat District Hospital,10001298,Rajshahi,Joypurhat,Joypurhat Sadar,district,0.8183337117275854,25.0916036,89.0489814
Juraichari Upazila Health Complex,10001074,Chattogram,Rangamati,Juraichari,subdistrict,0.8798285559501974,22.7244254,92.3805678
