rep,metric,category,inf_cat_total,pop_cat_total
120,inf,Mild,952190.4641221488,5930039.072059616
121,inf,High,14145446.976481026,76893394.25048828
121,inf,Moderate,5988392.968486332,73978154.52484131
121,inf,Mild,349069.9412559067,11727521.84506987
122,inf,High,20239885.071237087,77955930.34228516
122,inf,Moderate,9207575.27538847,74417224.50695801
122,inf,Mild,622788.6256744142,10225915.771156296
123,inf,High,13328843.709034223,77856517.22363281
123,inf,Moderate,6645775.630895063,77400058.38989258
123,inf,Mild,430096.1047607524,7342495.00687407
124,inf,High,19421763.64523603,73657259.822265625
124,inf,Moderate,10294113.89308548,79082843.39880371
124,inf,Mild,493680.4591178737,9858967.399330124
125,inf,High,22991121.624519166,81755094.111328125
125,inf,Moderate,10744868.950291231,72145562.3725586
125,inf,Mild,698227.7914213061,8698414.136512741
126,inf,High,18388591.44067372,79061985.39355469
126,inf,Moderate,9430512.211916273,74809333.73168945
126,inf,Mild,593962.6234405477,8727751.49515532
127,inf,High,20674815.790354665,75613335.6796875
127,inf,Moderate,9199612.55431024,77372385.93127441
127,inf,Mild,473377.33907969086,9613349.009437546
128,inf,High,22962999.66401047,77752662.658203125
128,inf,Moderate,12021646.91471905,76776540.69970703
128,inf,Mild,771493.9246589207,8069867.262489304
129,inf,High,13073052.827771803,67472503.60449219
129,inf,Moderate,3878322.1159451962,75578907.59967041
129,inf,Mild,177535.43246575497,19547659.416236863
13,inf,High,17021810.234985266,84372224.31738281
13,inf,Moderate,10897323.180005463,72104499.955078125
13,inf,Mild,773907.9475267756,6122346.347938523
130,inf,High,16508556.638016954,77568685.5366211
130,inf,Moderate,8596822.196300283,75484007.19946289
130,inf,Mild,559088.565222023,9546377.884315476
131,inf,High,18708874.93025267,84968563.67871094
131,inf,Moderate,11291649.65606492,71411006.37792969
131,inf,Mild,827533.893109074,6219500.563758835
132,inf,High,25715683.963735007,73207078.45703125
132,inf,Moderate,12005159.42723073,77702532.55456543
132,inf,Mild,681121.8712765833,11689459.60880278
133,inf,High,12633522.33114867,76660342.3071289
133,inf,Moderate,6188008.839957948,77220180.2130127
133,inf,Mild,376065.9841670825,8718548.100257859
134,inf,High,13785675.396733828,70666565.18359375
134,inf,Moderate,3778881.604253676,76204499.68676758
134,inf,Mild,179118.0401467766,15728005.750038132
135,inf,High,17095460.55389651,79659761.6821289
135,inf,Moderate,7323084.5155035965,73094704.59851074
135,inf,Mild,520487.01999005664,9844604.339759812
136,inf,High,13581531.468879092,74965518.294921875
136,inf,Moderate,6149569.911891506,77065855.11315918
136,inf,Mild,378896.16945133696,10567697.212318406
137,inf,High,23992049.675453175,84308298.86328125
137,inf,Moderate,14486998.129764156,71928021.72143555
137,inf,Mild,988199.5126011608,6362750.035682663
138,inf,High,21387852.699144438,73502416.6796875
138,inf,Moderate,10907552.132449223,78230378.1998291
138,inf,Mild,664967.234751916,10866275.740882859
139,inf,High,17091697.298016995,78667246.92089844
139,inf,Moderate,7270351.343875725,74011842.76586914
139,inf,Mild,426911.5314427048,9919980.933631882
14,inf,High,19851057.8209665,76504633.853515625
14,inf,Moderate,10249895.452796528,75818776.02368164
14,inf,Mild,602868.7810655561,10275660.743202195
140,inf,High,17494041.144345038,81164060.5625
140,inf,Moderate,8652331.165580077,73707097.4597168
140,inf,Mild,555706.5633705227,7727912.598182663
141,inf,High,17972774.818884026,73039163.45214844
141,inf,Moderate,7083021.606479707,76629944.69421387
141,inf,Mild,395858.3107061476,12929962.474037156
142,inf,High,22362255.145401094,77365109.90625
142,inf,Moderate,9676884.292381221,73293431.17553711
142,inf,Mild,552244.3081025748,11940529.53861235
143,inf,High,12747872.639598561,73748383.78417969
143,inf,Moderate,4920373.370426468,77490234.38549805
143,inf,Mild,290573.3717748959,11360452.450721726
144,inf,High,15621147.595287014,76308428.34228516
144,inf,Moderate,7262641.352884477,76774666.91308594
144,inf,Mild,418333.8613645071,9515975.365028366
145,inf,High,17546013.367443014,82224301.8203125
145,inf,Moderate,10575678.695113316,72888495.52172852
145,inf,Mild,828737.0377687865,7486273.278358445
146,inf,High,17360540.586305708,79363568.57421875
146,inf,Moderate,8418023.174987225,74546365.22937012
146,inf,Mild,616996.4646331142,8689136.816810593
147,inf,High,25472633.957925208,74212712.31933594
147,inf,Moderate,9215189.546305733,75439510.28613281
147,inf,Mild,580947.4709395239,12946848.01493071
148,inf,High,15840614.743171427,77576680.95751953
148,inf,Moderate,8645205.453614257,75990210.92333984
148,inf,Mild,613091.3312660396,9032178.739540085
149,inf,High,22827199.060682524,81208849.96484375
149,inf,Moderate,12882364.70159451,73328028.73461914
149,inf,Mild,995626.8085508142,8062191.92093657
15,inf,High,26540249.896356713,70875402.62109375
15,inf,Moderate,10944548.252589425,76245789.58239746
15,inf,Mild,638520.9418213455,15477878.41690825
150,inf,High,13699994.018594619,82836227.04199219
150,inf,Moderate,7094526.683843162,72736993.99902344
150,inf,Mild,489519.42915648513,7025849.579383835
151,inf,High,16932096.7285672,85206771.93359375
151,inf,Moderate,11826740.614421438,71483099.46533203
151,inf,Mild,910152.0730676844,5909199.221473679
152,inf,High,20908688.604490183,77595873.85839844
152,inf,Moderate,9404197.700849973,75406527.82287598
152,inf,Mild,568466.4452712041,9596668.939125046
153,inf,High,16428084.02491598,80481343.51660156
153,inf,Moderate,7923335.045961817,73524097.48730469
153,inf,Mild,609225.9968153781,8593629.61649321
154,inf,High,16451596.448092287,77055867.16259766
154,inf,Moderate,6369275.1740867905,75495790.34539795
154,inf,Mild,336209.19543157873,10047413.112403855
155,inf,High,24853111.81787191,82224391.07128906
155,inf,Moderate,12912461.302587913,72053573.90600586
155,inf,Mild,904476.0874110318,8321105.643104538
156,inf,High,14941995.318830477,77749898.87109375
156,inf,Moderate,5574941.147773883,73531625.51599121
156,inf,Mild,313769.49476180837,11317546.2333145
157,inf,High,19350300.429189183,82555892.08691406
157,inf,Moderate,10027234.330489622,72520619.931640625
157,inf,Mild,711297.0193084131,7522558.601844773
158,inf,High,19282337.34343245,77875028.36279297
158,inf,Moderate,8559832.683724325,74220530.64562988
158,inf,Mild,529664.1375544103,10503511.611976609
159,inf,High,18161075.667733595,78828840.5625
