sim,division,org_lvl,org_name,org_code,district,upazila,LAT,LON
4,Sylhet,district,Sunamganj 250 bed District Sadar Hospital,10002157,Sunamganj,Sunamganj Sadar,25.0647035,91.4108072
5,Barishal,district,Barisal General Hospital,10001972,Barishal,Barishal Sadar,22.7086412,90.37027479999999
5,Barishal,district,Patuakhali 250 bed Sadar Hospital,10002051,Patuakhali,Patuakhali Sadar,22.3622664,90.3269921
5,Barishal,tertiary,Sher-e-bangla Medical College Hospital,10001978,Barishal,Barishal Sadar,22.6863517,90.3614666
5,Chattogram,district,Cox's Bazar 250 Bed District Sadar Hospital,10000922,Cox's Bazar,Cox's Bazar Sadar,21.4409036,91.9766003
5,Chattogram,district,Comilla General Hospital,10000864,Cumilla,Cumilla Adarsha Sadar,23.4499746,91.1782827
5,Chattogram,district,Feni 250 Bed District Sadar Hospital,10000954,Feni,Feni Sadar,23.0159132,91.39758309999999
5,Dhaka,district,Narsingdi District Hospital,10000452,Narsingdi,Narsingdi Sadar,23.9299304,90.7026636
5,Dhaka,district,Faridpur General Hospital,10000105,Faridpur,Faridpur Sadar,23.6049185,89.83647409999999
5,Dhaka,district,Shariatpur District Hospital,10000559,Shariatpur,Shariatpur Sadar,23.2116043,90.3484297
5,Dhaka,district,Manikganj 250 Bed District Hospital,10000297,Manikganj,Manikganj Sadar,23.8692057,90.0006545
5,Dhaka,subdistrict,Belabo Upazila Health Complex,10000436,Narsingdi,Belabo,24.1066467,90.8514301
5,Khulna,district,Satkhira 250 bed Medical College Hospital,10024591,Satkhira,Satkhira Sadar,22.6901577,89.0469437
5,Khulna,district,Jhenaidah District Hospital,10001776,Jhenaidah,Jhenaidah Sadar,23.5306696,89.17223659999999
5,Khulna,subdistrict,Jibannagar Upazila Health Complex,10001734,Chuadanga,Jibannagar,23.4266939,88.82359939999999
5,Khulna,subdistrict,Batiaghata Upazila Health Complex,10001792,Khulna,Batiaghata,22.7386876,89.51466429999999
5,Khulna,tertiary,Khulna Medical College Hospital,10001807,Khulna,Sonadanga,22.8281662,89.5371409
5,Mymensingh,tertiary,Mymensingh Medical College Hospital,10000397,Mymensingh,Mymensingh Sadar,24.7415322,90.4089228
5,Rajshahi,subdistrict,Sapahar Upazila Health Complex,10001415,Naogaon,Sapahar,25.1238569,88.58747919999999
5,Rajshahi,tertiary,"Shaheed Ziaur Rahman Medical College Hospital, Bogra",10001111,Bogura,Bogura Sadar,24.8279041,89.35293879999999
5,Rangpur,district,Kurigram 250 bed District Hospital,10001317,Kurigram,Kurigram Sadar,25.8072414,89.6294746
5,Sylhet,subdistrict,Jamalganj Upazila Health Complex,10002150,Sunamganj,Jamalganj,24.9983704,91.23606579999999
5,Sylhet,subdistrict,Zokiganj Upazila Health Complex,10002204,Sylhet,Zakiganj,24.8836812,92.3643505
6,Barishal,district,Patuakhali 250 bed Sadar Hospital,10002051,Patuakhali,Patuakhali Sadar,22.3622664,90.3269921
6,Barishal,district,Pirojpur District Hospital,10002067,Pirojpur,Pirojpur Sadar,22.5789637,89.97664499999999
6,Barishal,subdistrict,Kawkhali Upazila Health Complex,10002056,Pirojpur,Kawkhali,22.6203254,90.0624261
6,Chattogram,district,Noakhali 250 Bed General Hospital,10001049,Noakhali,Noakhali Sadar,22.8725498,91.08850179999999
6,Chattogram,subdistrict,Saharasthi Upazila Health Complex,10000727,Chandpur,Shahrasti,23.2285233,90.94952889999999
6,Chattogram,tertiary,Cumilla Medical College Hospital,10000867,Cumilla,Cumilla Adarsha Sadar,23.4515415,91.2029603
6,Dhaka,district,Narayanganj General (Victoria) Hospital,10000427,Narayanganj,Narayanganj Sadar,23.6084011,90.50326590000002
6,Dhaka,district,Gopalganj 250 bed General Hospital,10002233,Gopalganj,Gopalganj Sadar,22.9982121,89.8190072
6,Dhaka,district,Narsingdi District Hospital,10000452,Narsingdi,Narsingdi Sadar,23.9299304,90.7026636
