org_name,org_code,division,district,upazila,agency,org_type,org_func,org_lvl,lat,lon
Gopalganj 250 bed General Hospital,10002233,Dhaka,Gopalganj,Gopalganj Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,22.9982121,89.8190072
Gopalpur Upazila Health Complex,10000607,Dhaka,Tangail,Gopalpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5498899,89.92717809999999
Goshairhat Upazila Health Complex,10000546,Dhaka,Shariatpur,Gosairhat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.078989,90.42886829999999
Harirampur Upazila Health Complex,10000288,Dhaka,Manikganj,Harirampur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7426415,89.9756586
Hossainpur Upazila Health Complex,10000232,Dhaka,Kishoreganj,Hossainpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.417774,90.65625849999999
Itna Upazila Health Complex,10000234,Dhaka,Kishoreganj,Itna,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5275596,91.09379469999999
Kaliakair Upazila Health Complex,10000141,Dhaka,Gazipur,Kaliakair,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0664694,90.20948589999999
"Kaliganj Upazila Health Complex, Gazipur",10000144,Dhaka,Gazipur,Kaliganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9240559,90.57015419999999
Kalihati Upazila Health Complex,10000613,Dhaka,Tangail,Kalihati,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3900372,89.9896531
Kalkini Upazila Health Complex,10000258,Dhaka,Madaripur,Kalkini,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0748425,90.2289366
Kalukhali Upazila Health Complex,10000511,Dhaka,Rajbari,Kalukhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7653703,89.48563039999999
Kapasia Upazila Health Complex,10000146,Dhaka,Gazipur,Kapasia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1216248,90.56842270000001
Karimganj Upazila Health Complex,10000236,Dhaka,Kishoreganj,Karimganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4658876,90.8718332
Kashiani Upazila Health Complex,10000167,Dhaka,Gopalganj,Kashiani,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2365898,89.71891959999999
Katiadi Upazila Health Complex,10000241,Dhaka,Kishoreganj,Katiadi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2444284,90.7978258
Keraniganj Upazila Health Complex,10000074,Dhaka,Dhaka,Keraniganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7064049,90.34714760000001
Kishoreganj 250 Bed District Sadar Hospital,10000243,Dhaka,Kishoreganj,Kishoreganj Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,24.4331227,90.7865655
Kotwalipara Upazila Health Complex,10000173,Dhaka,Gopalganj,Kotalipara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9863772,90.00462399999999
Kuliarchar Upazila Health Complex,10000246,Dhaka,Kishoreganj,Kuliarchar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1573607,90.9289026
Louhajang Upazila Health Complex,10000323,Dhaka,Munshiganj,Lohajang,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4786428,90.3422982
Madaripur District Hospital,10000263,Dhaka,Madaripur,Madaripur Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.1653896,90.21206480000001
Manikganj 250 Bed District Hospital,10000297,Dhaka,Manikganj,Manikganj Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.8692057,90.0006545
Mirzapur Upazila Health Complex,10000619,Dhaka,Tangail,Mirzapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.146499,90.0202292
Mithamoin Upazila Health Complex,10000249,Dhaka,Kishoreganj,Mithamain,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4150926,91.05150599999999
Modhukhali Upazila Health Complex,10000113,Dhaka,Faridpur,Madhukhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3916388,89.68525749999999
"Modhupur Upazila Health Complex, Tangail.",10000629,Dhaka,Tangail,Madhupur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6087098,90.02609110000002
Monohardi Upazila Health Complex,10000443,Dhaka,Narsingdi,Manohardi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1502347,90.70006769999999
"Mugda 500 Bed General Hospital, Dhaka",10013720,Dhaka,Dhaka,Mugda Para,DGHS,300-500 bed Hospital (not district hospital),Hospital/Clinic,Regional,23.7315171,90.42946200000002
Mukshedpur Upazila Health Complex,10000181,Dhaka,Gopalganj,Muksudpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3194117,89.8724368
Munshiganj 250 bed District Hospital,10000328,Dhaka,Munshiganj,Munshiganj Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.4980931,90.41266209999999
Nagarkanda Upazila Health Complex,10000120,Dhaka,Faridpur,Nagarkanda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.420866,89.89422429999999
Nagarpur Upazila Health Complex,10000634,Dhaka,Tangail,Nagarpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0504217,89.8740449
Narayanganj 300 Bed Hospital,10000425,Dhaka,Narayanganj,Narayanganj Sadar,DGHS,300-500 bed Hospital (not district hospital),Hospital/Clinic,National,23.6265177,90.5078152
Narayanganj General (Victoria) Hospital,10000427,Dhaka,Narayanganj,Narayanganj Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,District,23.6084011,90.50326590000002
Naria Upazila Health Complex,10000551,Dhaka,Shariatpur,Naria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3085294,90.4285328
Narsingdi District Hospital,10000452,Dhaka,Narsingdi,Narsingdi Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.9299304,90.7026636
Nawabganj Upazila Health Complex,10000080,Dhaka,Dhaka,Nawabganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6566436,90.1645685
Nikli Upazila Health Complex,10000250,Dhaka,Kishoreganj,Nikli,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.32586,90.9335328
Pakundia Upazila Health Complex,10000252,Dhaka,Kishoreganj,Pakundia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3292883,90.6793802
Palash Upazila Health Complex,10000456,Dhaka,Narsingdi,Palash,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9741677,90.65981479999999
Pangsha Upazila Health Complex,10000518,Dhaka,Rajbari,Pangsha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7906675,89.4255979
Raipura Upazila Health Complex,10000458,Dhaka,Narsingdi,Roypura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0001157,90.8623005
Rajbari District Hospital,10000536,Dhaka,Rajbari,Rajbari Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.7495843,89.6473056
Rajoir Upazila Health Complex,10000270,Dhaka,Madaripur,Rajoir,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2083584,90.0485525
Rupganj Upazila Health Complex,10000430,Dhaka,Narayanganj,Rupganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7993877,90.52711149999999
Saltha Upazila Health Complex,10013106,Dhaka,Faridpur,Saltha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4328101,89.7825682
Saturia Upazila Health Complex,10000303,Dhaka,Manikganj,Saturia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9729721,90.0361533
Savar Upazila Health Complex,10000083,Dhaka,Dhaka,Savar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8385698,90.24762989999999
Serajdikhan Upazila Health Complex,10000333,Dhaka,Munshiganj,Serajdikhan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.5496776,90.38749039999999
Shaheed Ahsan Ullah Master General Hospital,10000129,Dhaka,Gazipur,Gazipur Sadar,DGHS,General Hospital (not district hospital),Hospital/Clinic,Regional,23.8933902,90.4022109
Shaheed Suhrawardy Medical College Hospital,10000051,Dhaka,Dhaka,Sher-e-bangla Nagar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,23.7692146,90.3713616
Shakipur Upazila Health Complex,10000640,Dhaka,Tangail,Sakhipur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3164679,90.170626
Shariatpur District Hospital,10000559,Dhaka,Shariatpur,Shariatpur Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.2116043,90.3484297
"Sheikh Hasina Medical College Hospital, Tangail",10024593,Dhaka,Tangail,Tangail Sadar,DGHS,Medical College Hospital,Hospital/Clinic,National,24.2636082,89.92414850000002
Shibalaya Upazila Health Complex,10000307,Dhaka,Manikganj,Shibalaya,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8461945,89.8214775
Shibchar Upazila Health Complex,10000274,Dhaka,Madaripur,Shibchar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3433746,90.17042239999999
Shibpur Upazila Health Complex,10000461,Dhaka,Narsingdi,Shibpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0371778,90.7326197
Singair Upazila Health Complex,10000312,Dhaka,Manikganj,Singair,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8136016,90.13056189999999
Sir Salimullah Medical College Hospital,10000056,Dhaka,Dhaka,Kotwali,DGHS,Medical College Hospital,Hospital/Clinic,Regional,23.7105117,90.40213089999999
Sonargaon Upazila Health Complex,10000435,Dhaka,Narayanganj,Sonargaon,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6471325,90.6167565
Sreenagar Upazila Health Complex,10000341,Dhaka,Munshiganj,Sreenagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.5500127,90.29016899999999
Sreepur Upazila Health Complex,10000151,Dhaka,Gazipur,Sreepur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1999809,90.4726482
Tangail 250 Bed District Hospital,10000647,Dhaka,Tangail,Tangail Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,24.263342,89.9255878
Tarail Upazila Health Complex,10000253,Dhaka,Kishoreganj,Tarail,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5502507,90.8874775
Tungibari Upazila Health Complex,10000347,Dhaka,Munshiganj,Tongibari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.5118889,90.46616019999999
Tungipara Upazila Health Complex,10000182,Dhaka,Gopalganj,Tungipara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8941127,89.88953790000001
Zanjira Upazila Health Complex,10000563,Dhaka,Shariatpur,Zanjira,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9109195,90.6232171
Abhoynagar Upazila Health Complex,10001737,Khulna,Jashore,Abhaynagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0221697,89.395584
Alamdanga Upazila Health Complex,10001719,Khulna,Chuadanga,Alamdanga,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.7885968,88.9029102
Assasuni Upazila Health Complex,10001914,Khulna,Satkhira,Assasuni,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5470483,89.1776775
Bagerhat District Hospital,10001693,Khulna,Bagerhat,Bagerhat Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.7955887,89.8726916
Bagherpara Upazila Health Complex,10001741,Khulna,Jashore,Bagherpara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2191034,89.34433419999999
Batiaghata Upazila Health Complex,10001792,Khulna,Khulna,Batiaghata,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7386876,89.51466429999999
Bheramara Upazila Health Complex,10001830,Khulna,Kushtia,Bheramara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0325349,89.0048949
Chitalmari Upazila Health Complex,10001696,Khulna,Bagerhat,Chitalmari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7954188,89.8731677
Chowgacha Upazila Health Complex,10001744,Khulna,Jashore,Chaugacha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.2594433,89.02491169999999
Chuadanga District Hospital,10001723,Khulna,Chuadanga,Chuadanga Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.617779,88.8733006
Dacope Upazila Health Complex,10001794,Khulna,Khulna,Dacope,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5994035,89.5176149
Damurhuda Upazila Health Complex,10001731,Khulna,Chuadanga,Damurhuda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.613707,88.7635289
Daulatpur Upazila Health Complex,10002214,Khulna,Kushtia,Daulatpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9663768,89.82928489999999
Dighalia Upazila Health Complex,10001797,Khulna,Khulna,Dighalia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8730466,89.52459859999999
Dumuria Upazila Health Complex,10001799,Khulna,Khulna,Dumuria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8098382,89.4100684
Fakirhat Upazila Health Complex,10001701,Khulna,Bagerhat,Fakirhat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7778718,89.70012779999999
Fultala Upazila Health Complex,10001801,Khulna,Khulna,Phultala,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9572429,89.4807699
Gangni Upazila Health Complex,10001891,Khulna,Meherpur,Gangni,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8163155,88.7443078
Jassore 250 bed General Hospital,10013096,Khulna,Jashore,Jashore Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.1687959,89.20915869999999
Jhenaidah District Hospital,10001776,Khulna,Jhenaidah,Jhenaidah Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.5306696,89.17223659999999
Jhikargacha Upazila Health Complex,10001759,Khulna,Jashore,Jhikargacha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0999066,89.0991083
Jibannagar Upazila Health Complex,10001734,Khulna,Chuadanga,Jibannagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4266939,88.82359939999999
Kachua Upazila Health Complex,10002206,Khulna,Bagerhat,Kachua,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.340233,90.88992139999999
Kalaroa Upazila Health Complex,10001918,Khulna,Satkhira,Kalaroa,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8604031,89.0363302
Kalia Upazila Health Complex,10001904,Khulna,Narail,Kalia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.0411777,89.63590339999999
"Kaliganj Upazila Health Complex, Jhenaidah.",10002213,Khulna,Jhenaidah,Kaliganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4029033,89.1430606
"Kaliganj Upazila Health Complex, Satkhira.",10002212,Khulna,Satkhira,Kaliganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4630952,89.02480349999999
Keshabpur Upazila Health Complex,10001760,Khulna,Jashore,Keshabpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9092303,89.2133973
Khoksha Upazila Health Complex,10001842,Khulna,Kushtia,Khoksa,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8101766,89.288138
"Khulna 250 Bed General Hospital, Khulna",10001805,Khulna,Khulna,Khulna Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,22.8281662,89.5371409
Khulna Medical College Hospital,10001807,Khulna,Khulna,Sonadanga,DGHS,Medical College Hospital,Hospital/Clinic,Regional,22.8281662,89.5371409
Kotchandpur Upazila Health Complex,10001780,Khulna,Jhenaidah,Kotchandpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.4114561,89.0054244
Koyra Upazila Health Complex,10001817,Khulna,Khulna,Koyra,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4586429,89.2801437
Kumarkhali Upazila Health Complex,10001848,Khulna,Kushtia,Kumarkhali,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.8605042,89.2382519
Kushtia 250 bed General Hospital,10001862,Khulna,Kushtia,Kushtia Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.9011989,89.12426409999999
Lohagara Upazila Health Complex,10002211,Khulna,Narail,Lohagara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.1841516,89.6476686
Magura District Hospital,10001876,Khulna,Magura,Magura Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.4863665,89.4215122
Meherpur 250 bed District Hospital,10001898,Khulna,Meherpur,Meherpur Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,23.7783545,88.6423945
Mirpur Upazila Health Complex,10001870,Khulna,Kushtia,Mirpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.9312905,88.9966056
Mohammadpur Upazila Health Complex,10001882,Khulna,Magura,Mohammadpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3996622,89.582769
Moheshpur Upazila Health Complex,10001785,Khulna,Jhenaidah,Maheshpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3619368,88.9249224
Mollahat Upazila Health Complex,10001706,Khulna,Bagerhat,Mollahat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.9275399,89.8017596
Mongla Upazila Health Complex,10001707,Khulna,Bagerhat,Mongla,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4942196,89.6016171
Monirampur Upazila Health Complex,10001763,Khulna,Jashore,Monirampur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.008817,89.2352525
Morrelganj Upazila Health Complex,10001708,Khulna,Bagerhat,Morrelganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.4562842,89.8648338
Mujibnagar Upazila Health Complex,10001902,Khulna,Meherpur,Mujibnagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6694403,88.6034729
Narail District Hospital,10001913,Khulna,Narail,Narail Sadar,DGHS,District Hospital,Hospital/Clinic,District,23.1721187,89.49930669999999
Paikgacha Upazila Health Complex,10001824,Khulna,Khulna,Paikgacha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5935295,89.3183857
Rampal Upazila Health Complex,10001710,Khulna,Bagerhat,Rampal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.5877107,89.6497052
Rupsha Upazila Health Complex,10001826,Khulna,Khulna,Rupsa,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.8223637,89.550115
Sarankhola Upazila Health Complex,10001712,Khulna,Bagerhat,Sarankhola,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3128846,89.84993329999999
Sarsa Upazila Health Complex,10001768,Khulna,Jashore,Sharsha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.054194,88.989513
Satkhira 250 bed Medical College Hospital,10024591,Khulna,Satkhira,Satkhira Sadar,DGHS,Medical College Hospital,Hospital/Clinic,District,22.6901577,89.0469437
Satkhira District Hospital,10001926,Khulna,Satkhira,Satkhira Sadar,DGHS,District Hospital,Hospital/Clinic,District,22.7223116,89.068737
Shailkupa Upazila Health Complex,10001790,Khulna,Jhenaidah,Shailkupa,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.6813144,89.2462735
Shalikha Upazila Health Complex,10001885,Khulna,Magura,Shalikha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,23.3033389,89.375142
Shyamnagar Upazila Health Complex,10001928,Khulna,Satkhira,Shyamnagar,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.3436556,89.102396099999993
Sreepur Upazila Health Complex,10002208,Khulna,Magura,Sreepur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1999809,90.4726482
Tala Upazila Health Complex,10001930,Khulna,Satkhira,Tala,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.7509368,89.2599362
Terokhada Upazila Health Complex,10001828,Khulna,Khulna,Terokhada,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,22.928258,89.672511
Atpara Upazila Health Complex,10000466,Mymensingh,Netrakona,Atpara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8099522,90.86200269999999
Bakshiganj Upazila Health Complex,10000188,Mymensingh,Jamalpur,Bakshiganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.177373,89.87068239999999
Barhatta Upazila Health Complex,10000468,Mymensingh,Netrakona,Barhatta,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8978283,90.8872695
Dewanganj Upazila Health Complex,10000191,Mymensingh,Jamalpur,Dewanganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1617691,89.75889869999999
Dhubaura Upazila Health Complex,10000355,Mymensingh,Mymensingh,Dhobaura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0902996,90.5137506
Durgapur Upazila Health Complex,10002304,Mymensingh,Netrakona,Durgapur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1282929,90.6786839
Fulbaria Upazila Health Complex,10000358,Mymensingh,Mymensingh,Fulbaria,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6265478,90.2792457
Gofargaon Upazila Health Complex,10000369,Mymensingh,Mymensingh,Gaffargaon,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.4627428,90.54507319999999
Gouripur Upazila Health Complex,10000373,Mymensingh,Mymensingh,Gauripur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7708597,90.5693264
Haluaghat Upazila Health Complex,10000379,Mymensingh,Mymensingh,Haluaghat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1183767,90.3386664
Islampur Upazila Health Complex,10000196,Mymensingh,Jamalpur,Islampur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0778469,89.799385
Iswarganj Upazila Health Complex,10000383,Mymensingh,Mymensingh,Ishwarganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.68995,90.6109697
Jamalpur 250 Beded General Hospital,10000208,Mymensingh,Jamalpur,Jamalpur Sadar,DGHS,200-250 bed Hospital (district hospital),Hospital/Clinic,District,24.9407085,89.93395799999999
Jhenaigati Upazila Health Complex,10000565,Mymensingh,Sherpur,Jhenaigati,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.1824278,90.0664437
Kalmakanda Upazila Health Complex,10000472,Mymensingh,Netrakona,Kalmakanda,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0738598,90.89306619999999
Kendua Upazila Health Complex,10000482,Mymensingh,Netrakona,Kendua,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.6532945,90.8241221
Khaliajuri Upazila Health Complex,10000486,Mymensingh,Netrakona,Khaliajuri,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.687275,91.1319264
Madan Upazila Health Complex,10000488,Mymensingh,Netrakona,Madan,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7166957,90.9453231
Madarganj Upazila Health Complex,10000212,Mymensingh,Jamalpur,Madarganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8802883,89.7567693
Melandah Upazila Health Complex,10000218,Mymensingh,Jamalpur,Melandaha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9821864,89.835955
Mohanganj Upazila  Health  Complex,10000489,Mymensingh,Netrakona,Mohanganj,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8789388,90.9825149
Muktagacha Upazila Health Complex,10000387,Mymensingh,Mymensingh,Muktagacha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7616698,90.270377
Mymensingh Medical College Hospital,10000397,Mymensingh,Mymensingh,Mymensingh Sadar,DGHS,Medical College Hospital,Hospital/Clinic,Regional,24.7415322,90.4089228
Nakhla Upazila Health Complex,10000567,Mymensingh,Sherpur,Nakla,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9670008,90.1832834
Nalitabari Upazila Health Complex,10000568,Mymensingh,Sherpur,Nalitabari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.0935546,90.1890143
Nandail Upazila Health Complex,10000404,Mymensingh,Mymensingh,Nandail,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5659377,90.68990339999999
Netrokona District Hospital,10000496,Mymensingh,Netrakona,Netrokona Sadar,DGHS,District Hospital,Hospital/Clinic,District,24.8715569,90.7320982
Phulpur Upazila Health Complex,10000362,Mymensingh,Mymensingh,Phulpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9486478,90.36453790000002
Purbadhala Upazila Health Complex,10000500,Mymensingh,Netrakona,Purbadhala,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9476991,90.6013237
Sarishabari Upazila Health Complex,10000220,Mymensingh,Jamalpur,Sarishabari,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.7552498,89.83585219999999
Sherpur District Hospital,10000576,Mymensingh,Sherpur,Sherpur Sadar,DGHS,District Hospital,Hospital/Clinic,District,25.0182375,90.024633
Sribordi Upazila health Complex,10000578,Mymensingh,Sherpur,Sreebardi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,25.149808,89.934806
Trisal Upazila Health Complex,10000409,Mymensingh,Mymensingh,Trishal,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5779015,90.3946564
Adamdighi Upazila Health Complex,10001095,Rajshahi,Bogura,Adamdighi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.8222349,89.044119
Akkelpur Upazila Health Complex,10001289,Rajshahi,Joypurhat,Akkelpur,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9674097,89.02301130000001
Atgharia Upazila Health Complex,10001472,Rajshahi,Pabna,Atgharia,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1147584,89.24300559999999
Atrai Upazila Health Complex,10001363,Rajshahi,Naogaon,Atrai,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.611162,88.97819969999999
Badalgachi Upazila Health Complex,10001370,Rajshahi,Naogaon,Badalgachhi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9607274,88.90577669999999
Bagha Upazila Health Complex,10001527,Rajshahi,Rajshahi,Bagha,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.1987913,88.8378535
Bagmara Upazila Health Complex,10001523,Rajshahi,Rajshahi,Baghmara,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.5594502,88.80393579999999
Baraigram Upazila Health Complex,10001421,Rajshahi,Natore,Baraigram,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.3121676,89.16629840000002
Belkuchi Upazila Health Complex,10001624,Rajshahi,Sirajganj,Belkuchi,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2948402,89.69601589999999
Bera Upazila Health Complex,10001476,Rajshahi,Pabna,Bera,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.0776786,89.61486430000001
Bhangura Upazila Health Complex,10001473,Rajshahi,Pabna,Bhangura,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.2127755,89.3781084
Bholahat Upazila Health Complex,10001163,Rajshahi,Chapai Nawabganj,Bholahat,DGHS,Upazila Health Complex,Hospital/Clinic,Upazila,24.9363316,88.22329529999999
